"Index","Timestamp","Open","High","Low","Close","Volume","RSI6","RSI14","RSI30","FutureN","FutureReturn","FirstMove","BarsToHit","HitReturn"
"0","19-Oct-25 5:00:00 AM","213.2","213.91","212.64","213.33","62977.4",,,,"1","-0.001359332520858736","Up","2","0.01"
"1","19-Oct-25 6:00:00 AM","213.34","213.86","212.41","213.05","62527.6",,,,"1","0.01685050457639048","Up","1","0.01"
"2","19-Oct-25 7:00:00 AM","213.05","216.67","212.98","216.64","108380.3",,,,"1","-0.0021232402492499247","Up","7","0.01"
"3","19-Oct-25 8:00:00 AM","216.65","217.69","215.84","216.19","102915.6",,,,"1","-0.0031455268757517585","Up","6","0.01"
"4","19-Oct-25 9:00:00 AM","216.18","217.69","215.24","215.5","98082.2",,,,"1","-0.0039912748874552095","Up","3","0.01"
"5","19-Oct-25 10:00:00 AM","215.47","216.51","214.14","214.61","72660.6",,,,"1","-0.00037275184046225984","Up","2","0.01"
"6","19-Oct-25 11:00:00 AM","214.62","215.23","213.62","214.54","61246.1","60.134",,,"1","-0.008203598396569367","Up","1","0.01"
"7","19-Oct-25 12:00:00 PM","214.54","217.83","212.45","212.78","420149.1","44.4197",,,"1","0.013957422811222253","Up","1","0.01"
"8","19-Oct-25 1:00:00 PM","212.79","218.26","211.53","215.76","458706.8","63.6957",,,"1","0.016776346278617238","Up","1","0.01"
"9","19-Oct-25 2:00:00 PM","215.78","219.54","214.84","219.4","305916.8","75.9311",,,"1","0.005196699639877789","Up","2","0.01"
"10","19-Oct-25 3:00:00 PM","219.37","221.02","219.09","220.51","249770.2","78.5736",,,"1","-0.0036279533807990205","Up","2","0.01"
"11","19-Oct-25 4:00:00 PM","220.51","221.76","219.34","219.71","156391.2","71.7599",,,"1","0.020071912976195927","Up","1","0.01"
"12","19-Oct-25 5:00:00 PM","219.71","225.21","219.42","224.12","239920.8","82.0543",,,"1","0.007228593101601843","Up","1","0.01"
"13","19-Oct-25 6:00:00 PM","224.11","226.38","223.16","225.73","250282.5","84.5255",,,"1","-0.005227484162494966","Up","13","0.01"
"14","19-Oct-25 7:00:00 PM","225.73","226.1","223.91","224.55","116379.2","75.3942","73.913",,"1","-0.005610223073155507","Up","12","0.01"
"15","19-Oct-25 8:00:00 PM","224.59","224.75","222.48","223.33","162438.6","66.4834","69.9932",,"1","-0.0005820721769499437","Up","1","0.01"
"16","19-Oct-25 9:00:00 PM","223.34","225.81","222.59","223.21","236410.2","65.5687","69.6022",,"1","0.0034495116925006286","Up","5","0.01"
"17","19-Oct-25 10:00:00 PM","223.22","224.62","222.5","223.99","96988","68.9056","70.7461",,"1","0.0011607142857141817","Up","9","0.01"
"18","19-Oct-25 11:00:00 PM","224","224.43","222.87","224.26","74150.6","70.1089","71.1508",,"1","0.0029878701391365947","Up","8","0.01"
"19","20-Oct-25 12:00:00 AM","224.24","224.99","223.68","224.91","54333.3","73.1146","72.1497",,"1","-0.003690200960341339","Up","7","0.01"
"20","20-Oct-25 1:00:00 AM","224.92","225.33","223.57","224.09","76777.3","63.4552","68.9082",,"1","0.003748326639892996","Up","6","0.01"
"21","20-Oct-25 2:00:00 AM","224.1","225.51","224.05","224.94","51737.8","68.6132","70.3931",,"1","-0.01142526896061169","Up","5","0.01"
"22","20-Oct-25 3:00:00 AM","224.94","224.94","222.15","222.37","77028.2","45.3762","60.9196",,"1","-0.009893865803202062","Up","4","0.01"
"23","20-Oct-25 4:00:00 AM","222.36","222.38","217.72","220.16","218892.4","33.6251","54.1685",,"1","0.004042330926102622","Up","3","0.01"
"24","20-Oct-25 5:00:00 AM","220.17","221.98","219.41","221.06","87314.1","41.0816","56.2928",,"1","0.0027593070068305803","Up","2","0.01"
"25","20-Oct-25 6:00:00 AM","221.07","222.17","219.85","221.68","108891.6","46.0882","57.7457",,"1","0.026613739907077383","Up","1","0.01"
"26","20-Oct-25 7:00:00 AM","221.69","228.36","221.16","227.59","188315.8","72.6614","68.4963",,"1","0.005667589297482456","Up","3","0.01"
"27","20-Oct-25 8:00:00 AM","227.61","229.21","227.02","228.9","217520.2","75.8302","70.3001",,"1","0.00305783679888183","Up","2","0.01"
"28","20-Oct-25 9:00:00 AM","228.92","229.86","227.54","229.62","140920.1","77.5467","71.2736",,"1","0.019161259417323606","Up","1","0.01"
"29","20-Oct-25 10:00:00 AM","229.63","234.43","229.22","234.03","194451.7","85.2474","76.3805",,"1","-0.0018800205093146838","Down","22","-0.05"
"30","20-Oct-25 11:00:00 AM","234.04","234.04","232","233.6","126781.4","81.9585","74.9808","71.4497","1","-0.002012072434607659","Down","21","-0.05"
"31","20-Oct-25 12:00:00 PM","233.59","235.89","232.55","233.12","200608.5","77.931","73.3646","70.7067","1","0.00364634721805146","Down","20","-0.05"
"32","20-Oct-25 1:00:00 PM","233.11","234.11","232.19","233.96","105797.1","79.9954","74.4044","71.248","1","-0.0096585324159153","Down","19","-0.05"
"33","20-Oct-25 2:00:00 PM","233.99","234.62","230.84","231.73","109993.8","61.6297","66.934","67.8068","1","-0.00012948336138807193","Down","18","-0.05"
"34","20-Oct-25 3:00:00 PM","231.69","232.75","231.01","231.66","83308.7","61.1013","66.7076","67.7006","1","-0.0039706517047906065","Down","17","-0.05"
"35","20-Oct-25 4:00:00 PM","231.7","231.73","230.37","230.78","78911.2","54.1034","63.7866","66.3495","1","0.0007366642111192867","Down","16","-0.05"
"36","20-Oct-25 5:00:00 PM","230.77","231.61","229.7","230.94","84297.3","55.2223","64.0944","66.4753","1","-0.0021648770349843582","Down","15","-0.05"
"37","20-Oct-25 6:00:00 PM","230.96","231.35","227.89","230.46","120036","50.7668","62.3811","65.7126","1","-0.008895252972316303","Down","14","-0.05"
"38","20-Oct-25 7:00:00 PM","230.46","231.87","228.41","228.41","145221.5","35.9156","55.5512","62.5423","1","-0.008449717613064234","Up","23","0.01"
"39","20-Oct-25 8:00:00 PM","228.41","228.42","224.1","226.48","389025.1","26.9942","50.0008","59.7356","1","-0.0019870181480989846","Up","3","0.01"
"40","20-Oct-25 9:00:00 PM","226.47","227.69","225.05","226.02","113136.4","25.2036","48.7506","59.0818","1","0.006945980622041326","Up","2","0.01"
