"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"12","32","28","40","28","48","40","62.5","0.00212162","0.00246501","0.010112"
"4","32","28","40","32","48","40","62.5","0.00212162","0.00246501","0.010112"
"4","32","28","40","8","48","40","62.5","0.00212162","0.00246501","0.010112"
"4","32","28","40","24","48","40","62.5","0.00212162","0.00246501","0.010112"
"4","32","28","40","4","48","40","62.5","0.00212162","0.00246501","0.010112"
"4","32","28","40","20","48","40","62.5","0.00212162","0.00246501","0.010112"
"0","32","28","40","20","48","40","62.5","0.00212162","0.00246501","0.010112"
"0","32","28","40","4","48","40","62.5","0.00212162","0.00246501","0.010112"
"0","32","28","40","24","48","40","62.5","0.00212162","0.00246501","0.010112"
"0","32","28","40","8","48","40","62.5","0.00212162","0.00246501","0.010112"
"0","32","28","40","32","48","40","62.5","0.00212162","0.00246501","0.010112"
"0","32","28","40","0","48","40","62.5","0.00212162","0.00246501","0.010112"
"0","32","28","40","28","48","40","62.5","0.00212162","0.00246501","0.010112"
"4","32","28","40","0","48","40","62.5","0.00212162","0.00246501","0.010112"
"4","32","28","40","28","48","40","62.5","0.00212162","0.00246501","0.010112"
"12","32","28","40","0","48","40","62.5","0.00212162","0.00246501","0.010112"
"12","32","28","40","32","48","40","62.5","0.00212162","0.00246501","0.010112"
"12","32","28","40","8","48","40","62.5","0.00212162","0.00246501","0.010112"
"12","32","28","40","24","48","40","62.5","0.00212162","0.00246501","0.010112"
"12","32","28","40","4","48","40","62.5","0.00212162","0.00246501","0.010112"
"12","32","28","40","20","48","40","62.5","0.00212162","0.00246501","0.010112"
"12","32","12","40","0","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","8","40","8","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","8","40","24","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","8","40","4","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","8","40","20","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","24","40","28","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","24","40","0","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","24","40","32","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","24","40","8","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","24","40","24","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","0","40","4","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","0","40","20","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","8","40","32","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","0","40","24","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","0","40","8","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","0","40","32","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","0","40","0","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","0","40","28","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","12","40","28","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","24","40","4","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","8","40","0","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","24","40","20","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","4","40","20","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","8","40","28","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","12","40","20","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","12","40","4","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","12","40","24","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","12","40","8","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","16","40","28","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","16","40","0","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","16","40","32","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","16","40","8","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","16","40","24","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","16","40","4","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","16","40","20","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","12","40","32","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","20","40","0","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","20","40","28","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","4","40","24","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","4","40","8","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","4","40","0","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","4","40","28","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","4","40","32","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","20","40","4","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","20","40","24","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","20","40","8","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","20","40","32","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","20","40","20","48","42","61.9","0.00175292","0.00191207","0.01009739"
"12","32","4","40","4","48","42","61.9","0.00175292","0.00191207","0.01009739"
"4","32","16","40","28","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","12","40","0","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","12","40","20","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","12","40","4","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","12","40","24","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","12","40","8","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","12","40","32","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","0","40","32","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","0","40","20","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","0","40","4","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","0","40","24","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","0","40","8","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","0","40","0","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","0","40","28","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","16","40","0","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","12","40","28","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","16","40","32","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","20","40","20","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","16","40","24","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","8","40","4","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","8","40","24","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","8","40","8","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","8","40","32","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","8","40","0","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","8","40","28","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","4","40","20","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","4","40","4","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","4","40","24","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","4","40","8","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","4","40","32","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","4","40","0","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","4","40","28","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","20","40","4","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","20","40","24","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","20","40","8","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","20","40","32","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","20","40","0","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","20","40","28","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","16","40","20","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","16","40","4","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","16","40","8","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","8","40","20","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","16","40","20","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","20","40","8","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","20","40","0","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","20","40","28","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","0","40","28","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","16","40","4","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","16","40","24","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","16","40","8","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","16","40","32","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","16","40","0","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","16","40","28","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","20","40","32","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","12","40","20","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","12","40","24","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","12","40","8","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","12","40","32","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","12","40","0","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","12","40","28","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","0","40","20","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","0","40","4","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","0","40","24","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","0","40","8","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","12","40","4","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","0","40","32","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","0","40","0","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","20","40","4","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","8","40","20","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","8","40","4","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","8","40","24","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","8","40","8","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","20","40","24","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","8","40","0","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","8","40","28","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","8","40","32","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","4","40","4","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","4","40","24","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","4","40","8","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","4","40","32","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","4","40","0","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","4","40","28","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","20","40","20","48","44","61.36","0.00187981","0.00191207","0.00999669"
"0","32","4","40","20","48","44","61.36","0.00187981","0.00191207","0.00999669"
"4","32","24","40","28","48","43","60.47","0.00165339","0.00212314","0.01000011"
"4","32","24","40","0","48","43","60.47","0.00165339","0.00212314","0.01000011"
"4","32","24","40","32","48","43","60.47","0.00165339","0.00212314","0.01000011"
"4","32","24","40","8","48","43","60.47","0.00165339","0.00212314","0.01000011"
"4","32","24","40","24","48","43","60.47","0.00165339","0.00212314","0.01000011"
"0","32","24","40","4","48","43","60.47","0.00165339","0.00212314","0.01000011"
"4","32","24","40","4","48","43","60.47","0.00165339","0.00212314","0.01000011"
"0","32","24","40","28","48","43","60.47","0.00165339","0.00212314","0.01000011"
"0","32","24","40","0","48","43","60.47","0.00165339","0.00212314","0.01000011"
"0","32","24","40","32","48","43","60.47","0.00165339","0.00212314","0.01000011"
"0","32","24","40","8","48","43","60.47","0.00165339","0.00212314","0.01000011"
"0","32","24","40","24","48","43","60.47","0.00165339","0.00212314","0.01000011"
"0","32","24","40","20","48","43","60.47","0.00165339","0.00212314","0.01000011"
"4","32","24","40","20","48","43","60.47","0.00165339","0.00212314","0.01000011"
