"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"28","56","40","52","40","52","36","50","0.00123254","0.00031599","0.00541401"
"28","56","40","52","0","52","36","50","0.00123254","0.00031599","0.00541401"
"28","56","40","52","36","52","36","50","0.00123254","0.00031599","0.00541401"
"28","56","40","52","28","52","36","50","0.00123254","0.00031599","0.00541401"
"28","56","40","52","24","52","36","50","0.00123254","0.00031599","0.00541401"
"28","56","40","52","44","52","34","50","0.00121226","0.00031599","0.00555023"
"28","56","20","52","36","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","20","52","28","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","20","52","24","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","24","52","40","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","24","52","0","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","24","52","24","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","24","52","28","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","20","52","0","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","0","52","40","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","0","52","0","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","0","52","36","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","24","52","36","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","20","52","40","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","32","52","24","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","0","52","28","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","32","52","28","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","32","52","36","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","32","52","0","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","32","52","40","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","36","52","24","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","36","52","28","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","36","52","36","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","36","52","0","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","36","52","40","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","0","52","24","52","42","50","0.0010883","0.00031599","0.00531969"
"28","56","24","52","44","52","39","48.72","0.00099083","0.00063198","0.00548226"
"28","56","32","52","44","52","39","48.72","0.00099083","0.00063198","0.00548226"
"28","56","0","52","44","52","39","48.72","0.00099083","0.00063198","0.00548226"
"28","56","36","52","44","52","39","48.72","0.00099083","0.00063198","0.00548226"
"28","56","20","52","44","52","39","48.72","0.00099083","0.00063198","0.00548226"
