"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"24","36","4","44","36","48","32","50","0.00288113","0.00155496","0.01390439"
"24","36","28","44","36","48","32","50","0.00288113","0.00155496","0.01390439"
"24","36","24","44","36","48","32","50","0.00288113","0.00155496","0.01390439"
"24","36","20","44","36","48","32","50","0.00288113","0.00155496","0.01390439"
"24","36","8","44","36","48","32","50","0.00288113","0.00155496","0.01390439"
"24","36","0","44","36","48","32","50","0.00288113","0.00155496","0.01390439"
"16","36","4","44","36","48","42","50","0.00165657","0.00060556","0.01308959"
"16","36","20","44","36","48","42","50","0.00165657","0.00060556","0.01308959"
"16","36","8","44","36","48","42","50","0.00165657","0.00060556","0.01308959"
"16","36","0","44","36","48","42","50","0.00165657","0.00060556","0.01308959"
"16","36","24","44","36","48","42","50","0.00165657","0.00060556","0.01308959"
"16","36","28","44","36","48","42","50","0.00165657","0.00060556","0.01308959"
"8","28","8","44","12","44","30","50","0.00091255","0.00045682","0.01354533"
"8","28","8","44","0","44","30","50","0.00091255","0.00045682","0.01354533"
"8","28","0","44","8","44","30","50","0.00091255","0.00045682","0.01354533"
"8","28","0","44","4","44","30","50","0.00091255","0.00045682","0.01354533"
"8","28","0","44","20","44","30","50","0.00091255","0.00045682","0.01354533"
"4","28","4","44","8","44","30","50","0.00091255","0.00045682","0.01354533"
"8","28","0","44","12","44","30","50","0.00091255","0.00045682","0.01354533"
"8","28","0","44","0","44","30","50","0.00091255","0.00045682","0.01354533"
"4","28","4","44","4","44","30","50","0.00091255","0.00045682","0.01354533"
"8","28","8","44","16","44","30","50","0.00091255","0.00045682","0.01354533"
"4","28","4","44","16","44","30","50","0.00091255","0.00045682","0.01354533"
"8","28","0","44","16","44","30","50","0.00091255","0.00045682","0.01354533"
"4","28","4","44","20","44","30","50","0.00091255","0.00045682","0.01354533"
"8","28","20","44","16","44","30","50","0.00091255","0.00045682","0.01354533"
"8","28","8","44","8","44","30","50","0.00091255","0.00045682","0.01354533"
"8","28","20","44","0","44","30","50","0.00091255","0.00045682","0.01354533"
"8","28","20","44","12","44","30","50","0.00091255","0.00045682","0.01354533"
"4","28","4","44","12","44","30","50","0.00091255","0.00045682","0.01354533"
"8","28","20","44","20","44","30","50","0.00091255","0.00045682","0.01354533"
