"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"0","36","24","44","8","44","35","62.86","0.00124819","0.00250862","0.00801216"
"4","36","24","44","20","44","35","62.86","0.00124819","0.00250862","0.00801216"
"4","36","24","44","16","44","35","62.86","0.00124819","0.00250862","0.00801216"
"4","36","24","44","12","44","35","62.86","0.00124819","0.00250862","0.00801216"
"4","36","24","44","0","44","35","62.86","0.00124819","0.00250862","0.00801216"
"4","36","24","44","8","44","35","62.86","0.00124819","0.00250862","0.00801216"
"4","36","24","44","4","44","35","62.86","0.00124819","0.00250862","0.00801216"
"0","36","24","44","24","44","35","62.86","0.00124819","0.00250862","0.00801216"
"0","36","24","44","4","44","35","62.86","0.00124819","0.00250862","0.00801216"
"0","36","24","44","20","44","35","62.86","0.00124819","0.00250862","0.00801216"
"4","36","24","44","24","44","35","62.86","0.00124819","0.00250862","0.00801216"
"0","36","24","44","12","44","35","62.86","0.00124819","0.00250862","0.00801216"
"0","36","24","44","0","44","35","62.86","0.00124819","0.00250862","0.00801216"
"8","36","24","44","0","44","35","62.86","0.00124819","0.00250862","0.00801216"
"8","36","24","44","12","44","35","62.86","0.00124819","0.00250862","0.00801216"
"8","36","24","44","8","44","35","62.86","0.00124819","0.00250862","0.00801216"
"8","36","24","44","24","44","35","62.86","0.00124819","0.00250862","0.00801216"
"8","36","24","44","4","44","35","62.86","0.00124819","0.00250862","0.00801216"
"8","36","24","44","20","44","35","62.86","0.00124819","0.00250862","0.00801216"
"0","36","24","44","16","44","35","62.86","0.00124819","0.00250862","0.00801216"
"8","36","24","44","16","44","35","62.86","0.00124819","0.00250862","0.00801216"
"8","36","0","40","16","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","0","40","12","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","0","40","20","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","0","40","4","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","0","40","24","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","0","40","8","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","0","40","0","44","34","61.76","0.00125684","0.00250158","0.00812897"
"0","36","0","40","0","44","34","61.76","0.00125684","0.00250158","0.00812897"
"4","36","12","40","8","44","34","61.76","0.00125684","0.00250158","0.00812897"
"4","36","12","40","24","44","34","61.76","0.00125684","0.00250158","0.00812897"
"4","36","12","40","4","44","34","61.76","0.00125684","0.00250158","0.00812897"
"4","36","12","40","20","44","34","61.76","0.00125684","0.00250158","0.00812897"
"4","36","12","40","16","44","34","61.76","0.00125684","0.00250158","0.00812897"
"4","36","12","40","12","44","34","61.76","0.00125684","0.00250158","0.00812897"
"4","36","12","40","0","44","34","61.76","0.00125684","0.00250158","0.00812897"
"4","36","4","40","8","44","34","61.76","0.00125684","0.00250158","0.00812897"
"4","36","4","40","24","44","34","61.76","0.00125684","0.00250158","0.00812897"
"4","36","4","40","4","44","34","61.76","0.00125684","0.00250158","0.00812897"
"4","36","4","40","20","44","34","61.76","0.00125684","0.00250158","0.00812897"
"4","36","4","40","16","44","34","61.76","0.00125684","0.00250158","0.00812897"
"4","36","4","40","12","44","34","61.76","0.00125684","0.00250158","0.00812897"
"4","36","4","40","0","44","34","61.76","0.00125684","0.00250158","0.00812897"
"4","36","24","40","8","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","8","40","0","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","8","40","12","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","8","40","24","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","8","40","20","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","24","40","24","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","24","40","8","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","4","40","0","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","4","40","12","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","4","40","16","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","4","40","20","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","4","40","4","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","24","40","4","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","4","40","24","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","12","40","0","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","12","40","12","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","12","40","16","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","12","40","20","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","12","40","4","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","12","40","24","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","12","40","8","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","4","40","8","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","24","40","20","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","24","40","16","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","24","40","12","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","8","40","4","44","34","61.76","0.00125684","0.00250158","0.00812897"
"4","36","24","40","24","44","34","61.76","0.00125684","0.00250158","0.00812897"
"8","36","8","40","8","44","34","61.76","0.00125684","0.00250158","0.00812897"
