"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"28","40","0","40","8","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","28","40","28","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","28","40","16","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","28","40","8","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","20","40","28","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","20","40","16","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","4","40","28","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","4","40","16","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","4","40","8","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","8","40","28","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","8","40","16","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","8","40","8","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","20","40","8","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","12","40","16","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","12","40","28","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","0","40","16","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","0","40","28","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","24","40","16","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","24","40","28","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","24","40","8","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","16","40","8","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","16","40","16","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","16","40","28","56","31","54.84","0.00194088","0.00188121","0.00686129"
"28","40","12","40","8","56","31","54.84","0.00194088","0.00188121","0.00686129"
"8","36","4","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"8","36","20","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"8","36","20","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"8","36","4","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"8","36","20","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"8","36","4","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"8","36","12","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"8","36","8","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"8","36","8","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"8","36","12","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"8","36","12","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","20","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"8","36","8","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","4","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","12","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","0","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","0","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","0","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","24","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","24","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","24","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","16","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","16","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","16","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","12","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"8","36","16","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","12","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","8","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","8","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","4","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"8","36","16","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","20","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"8","36","24","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","0","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","0","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","0","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","24","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","24","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","24","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","16","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","16","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","16","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","12","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","12","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","12","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","8","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","8","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","8","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","4","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","4","40","16","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","4","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","20","40","8","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","8","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"12","36","20","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
"4","36","20","40","28","56","52","53.85","0.00149175","0.00054194","0.00793017"
