"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"8","36","20","40","36","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","4","40","20","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","4","40","4","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","4","40","32","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","20","40","0","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","16","40","20","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","20","40","12","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","20","40","8","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","20","40","24","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","20","40","20","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","20","40","4","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","20","40","32","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","4","40","24","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","16","40","24","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","16","40","12","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","16","40","36","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","16","40","0","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","0","40","32","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","0","40","4","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","0","40","20","48","41","65.85","0.00182899","0.00247134","0.00775892"
"4","36","0","40","0","48","41","65.85","0.00182899","0.00247134","0.00775892"
"4","36","0","40","36","48","41","65.85","0.00182899","0.00247134","0.00775892"
"4","36","0","40","12","48","41","65.85","0.00182899","0.00247134","0.00775892"
"4","36","0","40","8","48","41","65.85","0.00182899","0.00247134","0.00775892"
"4","36","0","40","24","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","16","40","8","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","4","40","8","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","4","40","12","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","4","40","36","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","24","40","0","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","24","40","36","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","24","40","12","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","24","40","8","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","24","40","24","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","24","40","20","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","24","40","4","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","24","40","32","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","12","40","0","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","12","40","36","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","12","40","12","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","12","40","8","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","12","40","24","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","12","40","20","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","12","40","4","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","12","40","32","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","8","40","0","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","8","40","36","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","8","40","12","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","8","40","8","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","8","40","24","48","41","65.85","0.00182899","0.00247134","0.00775892"
"8","36","8","40","20","48","41","65.85","0.00182899","0.00247134","0.00775892"
