"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"36","44","24","48","28","52","31","67.74","0.00082788","0.00109976","0.00640686"
"36","44","24","48","12","52","31","67.74","0.00082788","0.00109976","0.00640686"
"36","44","24","48","36","52","31","67.74","0.00082788","0.00109976","0.00640686"
"36","44","32","48","36","52","31","67.74","0.00082788","0.00109976","0.00640686"
"36","44","32","48","12","52","31","67.74","0.00082788","0.00109976","0.00640686"
"36","44","32","48","28","52","31","67.74","0.00082788","0.00109976","0.00640686"
"36","44","36","48","36","52","30","66.67","0.00071825","0.00102973","0.0064841"
"36","44","36","48","12","52","30","66.67","0.00071825","0.00102973","0.0064841"
"36","44","36","48","28","52","30","66.67","0.00071825","0.00102973","0.0064841"
"36","48","24","48","36","52","43","65.12","0.00087281","0.00109976","0.00604648"
"36","48","32","48","28","52","43","65.12","0.00087281","0.00109976","0.00604648"
"36","48","32","48","12","52","43","65.12","0.00087281","0.00109976","0.00604648"
"36","48","32","48","36","52","43","65.12","0.00087281","0.00109976","0.00604648"
"36","48","24","48","12","52","43","65.12","0.00087281","0.00109976","0.00604648"
"36","48","24","48","28","52","43","65.12","0.00087281","0.00109976","0.00604648"
"36","48","36","48","28","52","42","64.29","0.00079557","0.00102973","0.00609704"
"36","48","36","48","12","52","42","64.29","0.00079557","0.00102973","0.00609704"
"36","48","36","48","36","52","42","64.29","0.00079557","0.00102973","0.00609704"
"36","48","24","48","40","52","41","63.41","0.00053932","0.00102886","0.00594328"
"36","48","32","48","40","52","41","63.41","0.00053932","0.00102886","0.00594328"
"36","48","36","48","40","52","41","63.41","0.00053932","0.00102886","0.00594328"
"36","48","40","48","12","52","32","62.5","0.00013647","0.00106431","0.00501604"
"36","48","40","48","36","52","32","62.5","0.00013647","0.00106431","0.00501604"
"36","48","40","48","40","52","32","62.5","0.00013647","0.00106431","0.00501604"
"36","48","40","48","28","52","32","62.5","0.00013647","0.00106431","0.00501604"
"0","28","24","48","28","52","34","61.76","0.00139744","0.00165566","0.0071226"
"12","28","24","48","12","52","34","61.76","0.00139744","0.00165566","0.0071226"
"8","28","24","48","12","52","34","61.76","0.00139744","0.00165566","0.0071226"
"8","28","24","48","28","52","34","61.76","0.00139744","0.00165566","0.0071226"
"4","28","24","48","12","52","34","61.76","0.00139744","0.00165566","0.0071226"
"4","28","24","48","28","52","34","61.76","0.00139744","0.00165566","0.0071226"
"12","28","24","48","28","52","34","61.76","0.00139744","0.00165566","0.0071226"
"0","28","24","48","12","52","34","61.76","0.00139744","0.00165566","0.0071226"
