"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"0","32","0","40","0","44","31","61.29","0.00146391","0.0021399","0.00781596"
"8","32","4","40","8","44","31","61.29","0.00146391","0.0021399","0.00781596"
"8","32","4","40","32","44","31","61.29","0.00146391","0.0021399","0.00781596"
"8","32","4","40","20","44","31","61.29","0.00146391","0.0021399","0.00781596"
"8","32","4","40","4","44","31","61.29","0.00146391","0.0021399","0.00781596"
"4","32","0","40","0","44","31","61.29","0.00146391","0.0021399","0.00781596"
"4","32","0","40","28","44","31","61.29","0.00146391","0.0021399","0.00781596"
"4","32","0","40","12","44","31","61.29","0.00146391","0.0021399","0.00781596"
"4","32","0","40","8","44","31","61.29","0.00146391","0.0021399","0.00781596"
"4","32","0","40","32","44","31","61.29","0.00146391","0.0021399","0.00781596"
"4","32","0","40","20","44","31","61.29","0.00146391","0.0021399","0.00781596"
"4","32","0","40","4","44","31","61.29","0.00146391","0.0021399","0.00781596"
"4","32","0","40","16","44","31","61.29","0.00146391","0.0021399","0.00781596"
"4","32","24","40","0","44","31","61.29","0.00146391","0.0021399","0.00781596"
"4","32","24","40","28","44","31","61.29","0.00146391","0.0021399","0.00781596"
"4","32","24","40","12","44","31","61.29","0.00146391","0.0021399","0.00781596"
"4","32","24","40","8","44","31","61.29","0.00146391","0.0021399","0.00781596"
"4","32","24","40","32","44","31","61.29","0.00146391","0.0021399","0.00781596"
"8","32","4","40","12","44","31","61.29","0.00146391","0.0021399","0.00781596"
"4","32","24","40","20","44","31","61.29","0.00146391","0.0021399","0.00781596"
"8","32","4","40","28","44","31","61.29","0.00146391","0.0021399","0.00781596"
"8","32","8","40","16","44","31","61.29","0.00146391","0.0021399","0.00781596"
"8","32","16","40","4","44","31","61.29","0.00146391","0.0021399","0.00781596"
"8","32","16","40","16","44","31","61.29","0.00146391","0.0021399","0.00781596"
"8","32","12","40","0","44","31","61.29","0.00146391","0.0021399","0.00781596"
"8","32","12","40","28","44","31","61.29","0.00146391","0.0021399","0.00781596"
"8","32","12","40","12","44","31","61.29","0.00146391","0.0021399","0.00781596"
"8","32","12","40","8","44","31","61.29","0.00146391","0.0021399","0.00781596"
