"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"0","40","12","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"8","40","4","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"4","40","4","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"8","40","12","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"4","40","20","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"8","40","16","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"0","40","0","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"4","40","16","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"8","40","20","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"0","40","8","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"4","40","8","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"0","40","16","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"8","40","8","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"0","40","20","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"0","40","4","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"4","40","0","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"4","40","12","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"8","40","0","40","32","44","37","62.16","0.00124127","0.00216216","0.00988526"
"4","40","28","40","16","44","34","61.76","0.00111575","0.0021293","0.01000753"
"4","40","28","40","32","44","34","61.76","0.00111575","0.0021293","0.01000753"
"4","40","28","40","20","44","34","61.76","0.00111575","0.0021293","0.01000753"
"4","40","28","40","0","44","34","61.76","0.00111575","0.0021293","0.01000753"
"4","40","28","40","28","44","34","61.76","0.00111575","0.0021293","0.01000753"
"0","40","28","40","32","44","34","61.76","0.00111575","0.0021293","0.01000753"
"0","40","28","40","0","44","34","61.76","0.00111575","0.0021293","0.01000753"
"0","40","28","40","28","44","34","61.76","0.00111575","0.0021293","0.01000753"
"4","40","28","40","8","44","34","61.76","0.00111575","0.0021293","0.01000753"
"0","40","28","40","4","44","34","61.76","0.00111575","0.0021293","0.01000753"
"0","40","28","40","16","44","34","61.76","0.00111575","0.0021293","0.01000753"
"0","40","28","40","8","44","34","61.76","0.00111575","0.0021293","0.01000753"
"0","40","28","40","20","44","34","61.76","0.00111575","0.0021293","0.01000753"
"4","40","28","40","4","44","34","61.76","0.00111575","0.0021293","0.01000753"
"4","40","28","40","12","44","34","61.76","0.00111575","0.0021293","0.01000753"
"0","40","28","40","12","44","34","61.76","0.00111575","0.0021293","0.01000753"
"8","40","28","40","32","44","34","61.76","0.00111575","0.0021293","0.01000753"
"12","40","28","40","32","44","34","61.76","0.00111575","0.0021293","0.01000753"
"16","40","28","40","12","44","34","61.76","0.00111575","0.0021293","0.01000753"
"16","40","28","40","28","44","34","61.76","0.00111575","0.0021293","0.01000753"
"16","40","28","40","0","44","34","61.76","0.00111575","0.0021293","0.01000753"
"16","40","28","40","32","44","34","61.76","0.00111575","0.0021293","0.01000753"
