"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"20","40","8","44","16","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","4","44","4","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","4","44","20","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","4","44","24","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","12","44","0","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","12","44","12","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","12","44","16","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","12","44","4","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","12","44","20","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","12","44","24","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","12","44","28","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","8","44","0","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","8","44","12","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","8","44","4","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","8","44","20","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","8","44","24","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","8","44","28","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","16","44","0","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","16","44","12","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","16","44","16","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","16","44","4","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","16","44","20","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","16","44","24","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","16","44","28","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","4","44","16","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","4","44","12","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","4","44","28","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","28","44","16","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","28","44","0","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","28","44","12","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","4","44","0","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","28","44","4","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","28","44","20","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","28","44","24","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","20","44","0","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","28","44","28","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","20","44","16","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","20","44","4","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","20","44","20","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","20","44","24","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","20","44","28","48","39","56.41","0.00025157","0.00122399","0.0097999"
"20","40","20","44","12","48","39","56.41","0.00025157","0.00122399","0.0097999"
"24","40","28","44","4","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","4","44","16","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","28","44","20","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","28","44","16","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","28","44","12","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","28","44","24","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","4","44","20","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","4","44","4","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","4","44","12","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","20","44","16","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","20","44","28","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","20","44","24","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","28","44","28","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","20","44","20","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","12","44","0","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","20","44","0","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","20","44","4","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","20","44","12","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","28","44","0","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","4","44","0","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","12","44","12","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","16","44","24","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","12","44","4","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","16","44","28","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","16","44","20","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","16","44","4","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","16","44","16","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","16","44","12","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","16","44","0","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","8","44","28","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","12","44","16","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","8","44","20","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","8","44","24","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","4","44","24","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","8","44","16","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","8","44","12","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","8","44","0","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","12","44","28","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","12","44","24","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","12","44","20","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","8","44","4","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"24","40","4","44","28","48","32","56.25","-6.87E-05","0.00104072","0.00787635"
"4","40","32","44","20","48","38","55.26","0.00015744","0.00104072","0.00991059"
"4","40","32","44","28","48","38","55.26","0.00015744","0.00104072","0.00991059"
"4","40","32","44","24","48","38","55.26","0.00015744","0.00104072","0.00991059"
"4","40","32","44","4","48","38","55.26","0.00015744","0.00104072","0.00991059"
"8","40","32","44","12","48","38","55.26","0.00015744","0.00104072","0.00991059"
"16","40","32","44","24","48","38","55.26","0.00015744","0.00104072","0.00991059"
"0","40","32","44","36","48","38","55.26","0.00015744","0.00104072","0.00991059"
"0","40","32","44","0","48","38","55.26","0.00015744","0.00104072","0.00991059"
"0","40","32","44","12","48","38","55.26","0.00015744","0.00104072","0.00991059"
"0","40","32","44","16","48","38","55.26","0.00015744","0.00104072","0.00991059"
"0","40","32","44","4","48","38","55.26","0.00015744","0.00104072","0.00991059"
"0","40","32","44","20","48","38","55.26","0.00015744","0.00104072","0.00991059"
"0","40","32","44","24","48","38","55.26","0.00015744","0.00104072","0.00991059"
"0","40","32","44","28","48","38","55.26","0.00015744","0.00104072","0.00991059"
"8","40","32","44","28","48","38","55.26","0.00015744","0.00104072","0.00991059"
"8","40","32","44","24","48","38","55.26","0.00015744","0.00104072","0.00991059"
"16","40","32","44","28","48","38","55.26","0.00015744","0.00104072","0.00991059"
"8","40","32","44","20","48","38","55.26","0.00015744","0.00104072","0.00991059"
"8","40","32","44","16","48","38","55.26","0.00015744","0.00104072","0.00991059"
"4","40","32","44","16","48","38","55.26","0.00015744","0.00104072","0.00991059"
"8","40","32","44","0","48","38","55.26","0.00015744","0.00104072","0.00991059"
"8","40","32","44","36","48","38","55.26","0.00015744","0.00104072","0.00991059"
"16","40","32","44","36","48","38","55.26","0.00015744","0.00104072","0.00991059"
"16","40","32","44","0","48","38","55.26","0.00015744","0.00104072","0.00991059"
"16","40","32","44","12","48","38","55.26","0.00015744","0.00104072","0.00991059"
"16","40","32","44","16","48","38","55.26","0.00015744","0.00104072","0.00991059"
"16","40","32","44","4","48","38","55.26","0.00015744","0.00104072","0.00991059"
"16","40","32","44","20","48","38","55.26","0.00015744","0.00104072","0.00991059"
"8","40","32","44","4","48","38","55.26","0.00015744","0.00104072","0.00991059"
"4","40","32","44","12","48","38","55.26","0.00015744","0.00104072","0.00991059"
"20","40","32","44","36","48","38","55.26","0.00015744","0.00104072","0.00991059"
"4","40","32","44","36","48","38","55.26","0.00015744","0.00104072","0.00991059"
"20","40","32","44","0","48","38","55.26","0.00015744","0.00104072","0.00991059"
"4","40","32","44","0","48","38","55.26","0.00015744","0.00104072","0.00991059"
"20","40","32","44","12","48","38","55.26","0.00015744","0.00104072","0.00991059"
"20","40","16","44","36","48","38","55.26","0.00015744","0.00104072","0.00991059"
"20","40","8","44","36","48","38","55.26","0.00015744","0.00104072","0.00991059"
"20","40","4","44","36","48","38","55.26","0.00015744","0.00104072","0.00991059"
"20","40","12","44","36","48","38","55.26","0.00015744","0.00104072","0.00991059"
"20","40","32","44","16","48","38","55.26","0.00015744","0.00104072","0.00991059"
"20","40","32","44","4","48","38","55.26","0.00015744","0.00104072","0.00991059"
"20","40","32","44","20","48","38","55.26","0.00015744","0.00104072","0.00991059"
"20","40","32","44","24","48","38","55.26","0.00015744","0.00104072","0.00991059"
"20","40","32","44","28","48","38","55.26","0.00015744","0.00104072","0.00991059"
"20","40","28","44","36","48","38","55.26","0.00015744","0.00104072","0.00991059"
"20","40","20","44","36","48","38","55.26","0.00015744","0.00104072","0.00991059"
"24","40","32","44","4","48","31","54.84","-0.00019441","0.0011236","0.00797072"
"24","40","32","44","16","48","31","54.84","-0.00019441","0.0011236","0.00797072"
"24","40","32","44","12","48","31","54.84","-0.00019441","0.0011236","0.00797072"
"24","40","32","44","20","48","31","54.84","-0.00019441","0.0011236","0.00797072"
"24","40","32","44","24","48","31","54.84","-0.00019441","0.0011236","0.00797072"
"24","40","32","44","28","48","31","54.84","-0.00019441","0.0011236","0.00797072"
"24","40","16","44","36","48","31","54.84","-0.00019441","0.0011236","0.00797072"
"24","40","8","44","36","48","31","54.84","-0.00019441","0.0011236","0.00797072"
"24","40","32","44","36","48","31","54.84","-0.00019441","0.0011236","0.00797072"
"24","40","12","44","36","48","31","54.84","-0.00019441","0.0011236","0.00797072"
"24","40","4","44","36","48","31","54.84","-0.00019441","0.0011236","0.00797072"
"24","40","20","44","36","48","31","54.84","-0.00019441","0.0011236","0.00797072"
"24","40","28","44","36","48","31","54.84","-0.00019441","0.0011236","0.00797072"
"24","40","32","44","0","48","31","54.84","-0.00019441","0.0011236","0.00797072"
"8","40","28","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"8","40","20","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"8","40","12","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"0","40","12","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"0","40","20","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"8","40","4","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"4","40","16","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"0","40","8","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"4","40","8","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"0","40","4","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"4","40","20","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"4","40","4","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"8","40","16","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"4","40","12","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"8","40","8","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"0","40","16","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"4","40","28","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"0","40","28","44","36","48","42","54.76","0.00026667","0.00104072","0.01049212"
"8","40","28","44","4","48","44","54.55","0.00011151","0.00104072","0.01038258"
"8","40","28","44","16","48","44","54.55","0.00011151","0.00104072","0.01038258"
"4","40","28","44","16","48","44","54.55","0.00011151","0.00104072","0.01038258"
"8","40","28","44","12","48","44","54.55","0.00011151","0.00104072","0.01038258"
"8","40","28","44","20","48","44","54.55","0.00011151","0.00104072","0.01038258"
"8","40","28","44","0","48","44","54.55","0.00011151","0.00104072","0.01038258"
"4","40","28","44","0","48","44","54.55","0.00011151","0.00104072","0.01038258"
"8","40","28","44","24","48","44","54.55","0.00011151","0.00104072","0.01038258"
"8","40","28","44","28","48","44","54.55","0.00011151","0.00104072","0.01038258"
"4","40","28","44","12","48","44","54.55","0.00011151","0.00104072","0.01038258"
"4","40","28","44","4","48","44","54.55","0.00011151","0.00104072","0.01038258"
"4","40","28","44","24","48","44","54.55","0.00011151","0.00104072","0.01038258"
"4","40","28","44","28","48","44","54.55","0.00011151","0.00104072","0.01038258"
"0","40","28","44","28","48","44","54.55","0.00011151","0.00104072","0.01038258"
"0","40","28","44","24","48","44","54.55","0.00011151","0.00104072","0.01038258"
"0","40","28","44","20","48","44","54.55","0.00011151","0.00104072","0.01038258"
"0","40","28","44","4","48","44","54.55","0.00011151","0.00104072","0.01038258"
"0","40","28","44","0","48","44","54.55","0.00011151","0.00104072","0.01038258"
"0","40","28","44","16","48","44","54.55","0.00011151","0.00104072","0.01038258"
"4","40","28","44","20","48","44","54.55","0.00011151","0.00104072","0.01038258"
"0","40","28","44","12","48","44","54.55","0.00011151","0.00104072","0.01038258"
"0","40","20","44","24","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","20","44","16","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","20","44","12","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","20","44","0","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","20","44","4","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","20","44","20","48","48","54.17","0.00012556","0.00104072","0.01042252"
"8","40","16","44","28","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","4","44","20","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","4","44","0","48","48","54.17","0.00012556","0.00104072","0.01042252"
"8","40","16","44","24","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","16","44","28","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","16","44","24","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","16","44","20","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","16","44","4","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","16","44","16","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","16","44","12","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","16","44","0","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","8","44","28","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","8","44","24","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","8","44","20","48","48","54.17","0.00012556","0.00104072","0.01042252"
"0","40","8","44","4","48","48","54.17","0.00012556","0.00104072","0.01042252"
