"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"0","36","0","44","0","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","4","44","12","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","4","44","24","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","4","44","20","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","0","44","0","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","0","44","36","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","0","44","28","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","4","44","32","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","0","44","32","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","0","44","24","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","0","44","20","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","24","44","0","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","24","44","36","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","24","44","28","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","24","44","32","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","0","44","12","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","4","44","28","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","4","44","36","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","4","44","0","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","16","44","20","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","12","44","0","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","12","44","36","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","12","44","28","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","12","44","32","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","12","44","12","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","12","44","24","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","12","44","20","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","20","44","0","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","20","44","36","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","20","44","28","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","20","44","32","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","20","44","12","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","20","44","24","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","20","44","20","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","24","44","12","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","16","44","24","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","24","44","24","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","8","44","0","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","12","44","20","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","20","44","0","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","20","44","36","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","20","44","28","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","20","44","32","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","20","44","12","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","12","44","24","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","20","44","24","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","4","44","0","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","4","44","36","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","4","44","28","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","4","44","32","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","4","44","12","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","4","44","24","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","20","44","20","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","12","44","12","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","12","44","32","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","12","44","28","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","8","44","36","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","8","44","28","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","8","44","32","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","8","44","12","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","8","44","24","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","8","44","20","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","16","44","0","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","16","44","36","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","16","44","28","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","16","44","32","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","16","44","12","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","16","44","24","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","16","44","20","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","12","44","0","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","12","44","36","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","24","44","20","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","16","44","12","52","40","60","0.00092891","0.00223232","0.01004901"
"4","36","4","44","20","52","40","60","0.00092891","0.00223232","0.01004901"
"8","36","16","44","28","52","40","60","0.00092891","0.00223232","0.01004901"
"0","36","8","44","24","52","40","60","0.00092891","0.00223232","0.01004901"
"0","36","8","44","20","52","40","60","0.00092891","0.00223232","0.01004901"
"0","36","16","44","0","52","40","60","0.00092891","0.00223232","0.01004901"
"0","36","16","44","36","52","40","60","0.00092891","0.00223232","0.01004901"
"0","36","16","44","28","52","40","60","0.00092891","0.00223232","0.01004901"
"0","36","16","44","12","52","40","60","0.00092891","0.00223232","0.01004901"
"0","36","8","44","12","52","40","60","0.00092891","0.00223232","0.01004901"
"0","36","16","44","24","52","40","60","0.00092891","0.00223232","0.01004901"
