"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"8","32","28","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"4","32","8","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"4","32","16","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"0","32","28","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"4","32","4","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"4","32","12","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"0","32","20","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"4","32","20","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"4","32","28","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"0","32","12","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"4","32","24","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"0","32","4","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"8","32","24","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"0","32","16","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"8","32","16","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"8","32","8","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"8","32","4","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"0","32","24","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"0","32","8","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"8","32","20","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"8","32","12","44","36","48","35","60","0.00226733","0.00342231","0.0084417"
"4","32","28","44","12","48","36","58.33","0.00199517","0.00279516","0.00847792"
"4","32","28","44","16","48","36","58.33","0.00199517","0.00279516","0.00847792"
"4","32","28","44","4","48","36","58.33","0.00199517","0.00279516","0.00847792"
"4","32","28","44","28","48","36","58.33","0.00199517","0.00279516","0.00847792"
"0","32","28","44","16","48","36","58.33","0.00199517","0.00279516","0.00847792"
"0","32","28","44","12","48","36","58.33","0.00199517","0.00279516","0.00847792"
"0","32","28","44","4","48","36","58.33","0.00199517","0.00279516","0.00847792"
"0","32","28","44","28","48","36","58.33","0.00199517","0.00279516","0.00847792"
"8","32","28","44","16","48","36","58.33","0.00199517","0.00279516","0.00847792"
"8","32","28","44","12","48","36","58.33","0.00199517","0.00279516","0.00847792"
"8","32","28","44","4","48","36","58.33","0.00199517","0.00279516","0.00847792"
"8","32","28","44","28","48","36","58.33","0.00199517","0.00279516","0.00847792"
"4","32","8","44","16","48","38","57.89","0.00243063","0.00279516","0.00893242"
"4","32","8","44","12","48","38","57.89","0.00243063","0.00279516","0.00893242"
"4","32","8","44","4","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","8","44","4","48","38","57.89","0.00243063","0.00279516","0.00893242"
"4","32","8","44","28","48","38","57.89","0.00243063","0.00279516","0.00893242"
"4","32","24","44","16","48","38","57.89","0.00243063","0.00279516","0.00893242"
"4","32","24","44","12","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","20","44","28","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","20","44","4","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","16","44","16","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","8","44","28","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","16","44","12","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","16","44","4","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","16","44","28","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","24","44","28","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","4","44","16","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","4","44","12","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","4","44","4","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","20","44","12","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","24","44","4","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","24","44","12","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","12","44","16","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","12","44","12","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","12","44","4","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","12","44","28","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","24","44","16","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","20","44","16","48","38","57.89","0.00243063","0.00279516","0.00893242"
"0","32","4","44","28","48","38","57.89","0.00243063","0.00279516","0.00893242"
"4","32","24","44","4","48","38","57.89","0.00243063","0.00279516","0.00893242"
"4","32","4","44","4","48","38","57.89","0.00243063","0.00279516","0.00893242"
"4","32","16","44","16","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","24","44","28","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","16","44","16","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","16","44","12","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","16","44","4","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","16","44","28","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","4","44","16","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","4","44","12","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","4","44","4","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","4","44","28","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","12","44","16","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","12","44","12","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","12","44","4","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","12","44","28","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","20","44","16","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","20","44","12","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","20","44","4","48","38","57.89","0.00243063","0.00279516","0.00893242"
"8","32","20","44","28","48","38","57.89","0.00243063","0.00279516","0.00893242"
