"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"4","44","0","40","0","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","12","40","12","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","12","40","28","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","12","40","4","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","12","40","24","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","8","40","0","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","8","40","16","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","8","40","12","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","8","40","8","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","12","40","16","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","8","40","28","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","8","40","24","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","4","40","0","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","4","40","16","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","4","40","12","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","4","40","8","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","4","40","28","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","4","40","4","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","4","40","24","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","8","40","4","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","12","40","0","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","12","40","8","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","16","40","4","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","0","40","16","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","0","40","12","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","0","40","8","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","0","40","28","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","0","40","4","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","0","40","24","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","16","40","24","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","20","40","16","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","20","40","12","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","20","40","0","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","20","40","28","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","20","40","4","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","20","40","24","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","16","40","0","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","16","40","16","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","16","40","12","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","16","40","8","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","16","40","28","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","20","40","8","44","39","64.1","0.00123007","0.00301205","0.00998545"
"4","44","24","40","4","44","38","63.16","0.0010341","0.0024447","0.01004169"
"4","44","24","40","0","44","38","63.16","0.0010341","0.0024447","0.01004169"
"4","44","24","40","16","44","38","63.16","0.0010341","0.0024447","0.01004169"
"4","44","24","40","12","44","38","63.16","0.0010341","0.0024447","0.01004169"
"4","44","24","40","8","44","38","63.16","0.0010341","0.0024447","0.01004169"
"4","44","24","40","28","44","38","63.16","0.0010341","0.0024447","0.01004169"
"4","44","24","40","24","44","38","63.16","0.0010341","0.0024447","0.01004169"
