"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"16","36","28","44","0","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","0","44","24","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","16","44","0","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","16","44","12","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","16","44","16","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","16","44","20","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","16","44","4","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","0","44","28","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","16","44","28","44","30","53.33","0.0011841","0.00071603","0.00978932"
"12","36","28","44","12","44","30","53.33","0.0011841","0.00071603","0.00978932"
"12","36","28","44","16","44","30","53.33","0.0011841","0.00071603","0.00978932"
"12","36","28","44","20","44","30","53.33","0.0011841","0.00071603","0.00978932"
"12","36","28","44","4","44","30","53.33","0.0011841","0.00071603","0.00978932"
"12","36","28","44","28","44","30","53.33","0.0011841","0.00071603","0.00978932"
"12","36","28","44","24","44","30","53.33","0.0011841","0.00071603","0.00978932"
"12","36","28","44","0","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","0","44","4","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","16","44","24","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","0","44","16","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","0","44","20","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","28","44","12","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","28","44","16","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","28","44","20","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","28","44","4","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","28","44","24","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","24","44","0","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","28","44","28","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","24","44","16","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","24","44","20","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","24","44","4","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","24","44","28","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","24","44","24","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","0","44","0","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","24","44","12","44","30","53.33","0.0011841","0.00071603","0.00978932"
"16","36","0","44","12","44","30","53.33","0.0011841","0.00071603","0.00978932"
"12","36","16","44","4","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","0","44","28","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","0","44","24","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","16","44","0","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","16","44","20","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","16","44","16","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","0","44","4","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","16","44","12","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","0","44","20","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","24","44","12","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","0","44","12","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","0","44","0","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","24","44","24","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","24","44","28","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","24","44","4","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","24","44","20","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","24","44","16","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","24","44","0","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","16","44","28","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","0","44","16","44","32","53.12","0.00073617","0.00071603","0.00983761"
"12","36","16","44","24","44","32","53.12","0.00073617","0.00071603","0.00983761"
