"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"36","56","28","48","8","52","34","67.65","0.00364444","0.00274418","0.01271149"
"36","56","32","48","36","52","34","67.65","0.00364444","0.00274418","0.01271149"
"36","56","32","48","16","52","34","67.65","0.00364444","0.00274418","0.01271149"
"36","56","32","48","32","52","34","67.65","0.00364444","0.00274418","0.01271149"
"36","56","32","48","12","52","34","67.65","0.00364444","0.00274418","0.01271149"
"36","56","32","48","8","52","34","67.65","0.00364444","0.00274418","0.01271149"
"36","56","28","48","12","52","34","67.65","0.00364444","0.00274418","0.01271149"
"36","56","28","48","36","52","34","67.65","0.00364444","0.00274418","0.01271149"
"36","56","28","48","16","52","34","67.65","0.00364444","0.00274418","0.01271149"
"36","56","28","48","32","52","34","67.65","0.00364444","0.00274418","0.01271149"
"36","56","32","48","40","52","33","66.67","0.00360379","0.00270944","0.01290047"
"36","56","28","48","40","52","33","66.67","0.00360379","0.00270944","0.01290047"
"32","52","28","48","12","52","36","58.33","0.00159604","0.00168816","0.01186187"
"32","52","32","48","36","52","36","58.33","0.00159604","0.00168816","0.01186187"
"32","52","32","48","16","52","36","58.33","0.00159604","0.00168816","0.01186187"
"32","52","32","48","32","52","36","58.33","0.00159604","0.00168816","0.01186187"
"32","52","32","48","12","52","36","58.33","0.00159604","0.00168816","0.01186187"
"32","52","32","48","8","52","36","58.33","0.00159604","0.00168816","0.01186187"
"32","52","28","48","36","52","36","58.33","0.00159604","0.00168816","0.01186187"
"32","52","28","48","16","52","36","58.33","0.00159604","0.00168816","0.01186187"
"32","52","28","48","32","52","36","58.33","0.00159604","0.00168816","0.01186187"
"32","52","28","48","8","52","36","58.33","0.00159604","0.00168816","0.01186187"
"32","52","32","48","40","52","34","55.88","0.00142808","0.00131797","0.01218425"
"32","52","28","48","40","52","34","55.88","0.00142808","0.00131797","0.01218425"
