"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"24","44","32","48","24","44","31","58.06","0.00014085","0.00072543","0.00622861"
"24","44","32","48","16","44","31","58.06","0.00014085","0.00072543","0.00622861"
"24","44","32","48","8","44","31","58.06","0.00014085","0.00072543","0.00622861"
"24","44","32","48","12","44","31","58.06","0.00014085","0.00072543","0.00622861"
"24","44","32","48","4","44","31","58.06","0.00014085","0.00072543","0.00622861"
"24","44","32","48","36","44","31","58.06","0.00014085","0.00072543","0.00622861"
"24","44","32","48","0","44","31","58.06","0.00014085","0.00072543","0.00622861"
"20","44","32","48","40","44","33","57.58","-0.00015222","0.00050429","0.00692648"
"16","44","32","48","40","44","33","57.58","-0.00015222","0.00050429","0.00692648"
"20","44","32","48","36","44","37","56.76","-0.00032513","0.00050429","0.00879875"
"20","44","32","48","4","44","37","56.76","-0.00032513","0.00050429","0.00879875"
"16","44","32","48","0","44","37","56.76","-0.00032513","0.00050429","0.00879875"
"20","44","32","48","8","44","37","56.76","-0.00032513","0.00050429","0.00879875"
"20","44","32","48","16","44","37","56.76","-0.00032513","0.00050429","0.00879875"
"20","44","32","48","0","44","37","56.76","-0.00032513","0.00050429","0.00879875"
"20","44","32","48","24","44","37","56.76","-0.00032513","0.00050429","0.00879875"
"16","44","32","48","16","44","37","56.76","-0.00032513","0.00050429","0.00879875"
"16","44","32","48","8","44","37","56.76","-0.00032513","0.00050429","0.00879875"
"16","44","32","48","12","44","37","56.76","-0.00032513","0.00050429","0.00879875"
"16","44","32","48","4","44","37","56.76","-0.00032513","0.00050429","0.00879875"
"16","44","32","48","36","44","37","56.76","-0.00032513","0.00050429","0.00879875"
"16","44","32","48","24","44","37","56.76","-0.00032513","0.00050429","0.00879875"
"20","44","32","48","12","44","37","56.76","-0.00032513","0.00050429","0.00879875"
"24","44","32","48","40","44","30","56.67","2.654E-05","0.00046895","0.0062995"
