"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"12","36","12","40","40","48","33","66.67","0.00202931","0.00200922","0.00980928"
"12","36","8","40","40","48","33","66.67","0.00202931","0.00200922","0.00980928"
"12","36","28","40","40","48","33","66.67","0.00202931","0.00200922","0.00980928"
"12","36","24","40","40","48","33","66.67","0.00202931","0.00200922","0.00980928"
"12","36","4","40","40","48","33","66.67","0.00202931","0.00200922","0.00980928"
"12","36","28","40","32","48","39","66.67","0.00164406","0.00229826","0.01051435"
"16","36","24","40","32","48","37","64.86","0.0016606","0.0021097","0.0107908"
"16","36","4","40","32","48","37","64.86","0.0016606","0.0021097","0.0107908"
"16","36","12","40","32","48","37","64.86","0.0016606","0.0021097","0.0107908"
"16","36","28","40","32","48","37","64.86","0.0016606","0.0021097","0.0107908"
"16","36","8","40","32","48","37","64.86","0.0016606","0.0021097","0.0107908"
"12","36","24","40","36","48","37","64.86","0.00153653","0.00200922","0.01077987"
"12","36","4","40","36","48","37","64.86","0.00153653","0.00200922","0.01077987"
"12","36","28","40","36","48","37","64.86","0.00153653","0.00200922","0.01077987"
"12","36","12","40","36","48","37","64.86","0.00153653","0.00200922","0.01077987"
"12","36","8","40","36","48","37","64.86","0.00153653","0.00200922","0.01077987"
"16","36","8","40","40","48","31","64.52","0.00207391","0.0021097","0.01011439"
"16","36","12","40","40","48","31","64.52","0.00207391","0.0021097","0.01011439"
"12","36","32","40","40","48","31","64.52","0.00207391","0.0021097","0.01011439"
"16","36","28","40","40","48","31","64.52","0.00207391","0.0021097","0.01011439"
"16","36","24","40","40","48","31","64.52","0.00207391","0.0021097","0.01011439"
"16","36","32","40","40","48","31","64.52","0.00207391","0.0021097","0.01011439"
"16","36","4","40","40","48","31","64.52","0.00207391","0.0021097","0.01011439"
"12","36","8","40","32","48","42","64.29","0.00119102","0.00205946","0.01053613"
"12","36","4","40","32","48","42","64.29","0.00119102","0.00205946","0.01053613"
"12","36","24","40","32","48","42","64.29","0.00119102","0.00205946","0.01053613"
"12","36","12","40","32","48","42","64.29","0.00119102","0.00205946","0.01053613"
"12","36","32","40","32","48","33","63.64","0.00161183","0.00200922","0.01049851"
"12","36","32","40","36","48","33","63.64","0.00161183","0.00200922","0.01049851"
