"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"0","32","24","40","12","48","33","51.52","0.0001937","0.00094384","0.00909755"
"0","32","24","40","0","48","33","51.52","0.0001937","0.00094384","0.00909755"
"0","32","24","40","20","48","33","51.52","0.0001937","0.00094384","0.00909755"
"0","32","24","40","4","48","33","51.52","0.0001937","0.00094384","0.00909755"
"0","32","24","40","8","48","33","51.52","0.0001937","0.00094384","0.00909755"
"0","32","24","40","28","48","33","51.52","0.0001937","0.00094384","0.00909755"
"0","32","8","40","0","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","8","40","20","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","8","40","4","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","8","40","8","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","8","40","28","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","4","40","12","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","4","40","0","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","4","40","8","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","4","40","4","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","8","40","12","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","4","40","28","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","20","40","12","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","20","40","0","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","20","40","20","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","20","40","4","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","4","40","20","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","12","40","28","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","12","40","20","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","12","40","4","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","0","40","12","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","0","40","0","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","0","40","20","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","0","40","4","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","0","40","8","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","0","40","28","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","16","40","12","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","16","40","0","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","16","40","20","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","16","40","4","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","16","40","8","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","16","40","28","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","12","40","12","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","12","40","0","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","20","40","8","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","12","40","8","48","35","51.43","0.00036797","0.00137615","0.00938965"
"0","32","20","40","28","48","35","51.43","0.00036797","0.00137615","0.00938965"
