"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"0","32","24","40","32","48","35","60","0.00130126","0.00296516","0.01231429"
"12","32","20","40","32","48","35","60","0.00130126","0.00296516","0.01231429"
"0","32","12","40","32","48","35","60","0.00130126","0.00296516","0.01231429"
"12","32","0","40","32","48","35","60","0.00130126","0.00296516","0.01231429"
"12","32","8","40","32","48","35","60","0.00130126","0.00296516","0.01231429"
"0","32","20","40","32","48","35","60","0.00130126","0.00296516","0.01231429"
"12","32","12","40","32","48","35","60","0.00130126","0.00296516","0.01231429"
"12","32","24","40","32","48","35","60","0.00130126","0.00296516","0.01231429"
"0","32","16","40","32","48","35","60","0.00130126","0.00296516","0.01231429"
"0","32","8","40","32","48","35","60","0.00130126","0.00296516","0.01231429"
"12","32","24","40","12","48","35","60","0.00130126","0.00296516","0.01231429"
"12","32","16","40","32","48","35","60","0.00130126","0.00296516","0.01231429"
"12","32","24","40","24","48","35","60","0.00130126","0.00296516","0.01231429"
"12","32","24","40","8","48","35","60","0.00130126","0.00296516","0.01231429"
"0","32","0","40","32","48","35","60","0.00130126","0.00296516","0.01231429"
"0","32","24","40","8","48","35","60","0.00130126","0.00296516","0.01231429"
"0","32","24","40","24","48","35","60","0.00130126","0.00296516","0.01231429"
"0","32","24","40","20","48","35","60","0.00130126","0.00296516","0.01231429"
"0","32","24","40","12","48","35","60","0.00130126","0.00296516","0.01231429"
"12","32","24","40","20","48","35","60","0.00130126","0.00296516","0.01231429"
"12","32","0","40","24","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","0","40","8","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","8","40","12","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","8","40","20","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","20","40","20","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","8","40","8","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","20","40","12","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","20","40","24","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","20","40","8","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","12","40","12","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","12","40","20","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","12","40","24","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","12","40","8","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","16","40","12","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","16","40","20","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","8","40","24","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","0","40","20","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","16","40","8","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","16","40","24","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","0","40","12","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","0","40","20","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","0","40","24","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","0","40","8","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","8","40","12","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","8","40","20","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","8","40","24","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","8","40","8","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","20","40","12","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","20","40","20","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","20","40","24","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","20","40","8","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","12","40","12","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","12","40","20","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","12","40","24","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","12","40","8","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","16","40","12","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","16","40","20","48","37","59.46","0.00121159","0.00208478","0.01207635"
"0","32","16","40","24","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","0","40","12","48","37","59.46","0.00121159","0.00208478","0.01207635"
"12","32","16","40","8","48","37","59.46","0.00121159","0.00208478","0.01207635"
