"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"12","36","28","40","28","48","30","66.67","0.0019608","0.00342052","0.00957081"
"8","36","28","40","8","48","30","66.67","0.0019608","0.00342052","0.00957081"
"8","36","28","40","12","48","30","66.67","0.0019608","0.00342052","0.00957081"
"8","36","28","40","16","48","30","66.67","0.0019608","0.00342052","0.00957081"
"8","36","28","40","20","48","30","66.67","0.0019608","0.00342052","0.00957081"
"4","36","28","40","20","48","30","66.67","0.0019608","0.00342052","0.00957081"
"4","36","28","40","16","48","30","66.67","0.0019608","0.00342052","0.00957081"
"4","36","28","40","12","48","30","66.67","0.0019608","0.00342052","0.00957081"
"4","36","28","40","8","48","30","66.67","0.0019608","0.00342052","0.00957081"
"4","36","28","40","28","48","30","66.67","0.0019608","0.00342052","0.00957081"
"0","36","28","40","20","48","30","66.67","0.0019608","0.00342052","0.00957081"
"0","36","28","40","16","48","30","66.67","0.0019608","0.00342052","0.00957081"
"0","36","28","40","12","48","30","66.67","0.0019608","0.00342052","0.00957081"
"0","36","28","40","8","48","30","66.67","0.0019608","0.00342052","0.00957081"
"0","36","28","40","28","48","30","66.67","0.0019608","0.00342052","0.00957081"
"8","36","28","40","28","48","30","66.67","0.0019608","0.00342052","0.00957081"
"12","36","28","40","8","48","30","66.67","0.0019608","0.00342052","0.00957081"
"12","36","28","40","12","48","30","66.67","0.0019608","0.00342052","0.00957081"
"12","36","28","40","16","48","30","66.67","0.0019608","0.00342052","0.00957081"
"12","36","28","40","20","48","30","66.67","0.0019608","0.00342052","0.00957081"
"12","36","0","40","20","48","33","63.64","0.00123733","0.00192771","0.00952783"
"0","36","24","40","16","48","33","63.64","0.00123733","0.00192771","0.00952783"
"0","36","24","40","20","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","24","40","20","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","24","40","16","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","24","40","12","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","24","40","8","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","24","40","28","48","33","63.64","0.00123733","0.00192771","0.00952783"
"4","36","24","40","12","48","33","63.64","0.00123733","0.00192771","0.00952783"
"4","36","24","40","8","48","33","63.64","0.00123733","0.00192771","0.00952783"
"0","36","24","40","8","48","33","63.64","0.00123733","0.00192771","0.00952783"
"8","36","24","40","20","48","33","63.64","0.00123733","0.00192771","0.00952783"
"8","36","24","40","16","48","33","63.64","0.00123733","0.00192771","0.00952783"
"8","36","24","40","12","48","33","63.64","0.00123733","0.00192771","0.00952783"
"8","36","24","40","8","48","33","63.64","0.00123733","0.00192771","0.00952783"
"8","36","24","40","28","48","33","63.64","0.00123733","0.00192771","0.00952783"
"4","36","24","40","20","48","33","63.64","0.00123733","0.00192771","0.00952783"
"4","36","24","40","28","48","33","63.64","0.00123733","0.00192771","0.00952783"
"0","36","24","40","28","48","33","63.64","0.00123733","0.00192771","0.00952783"
"0","36","24","40","12","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","0","40","8","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","20","40","8","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","20","40","12","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","20","40","16","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","20","40","20","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","4","40","28","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","4","40","8","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","4","40","12","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","4","40","16","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","4","40","20","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","16","40","28","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","16","40","8","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","16","40","12","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","16","40","16","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","0","40","28","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","16","40","20","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","12","40","8","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","12","40","12","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","12","40","16","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","12","40","20","48","33","63.64","0.00123733","0.00192771","0.00952783"
"4","36","24","40","16","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","0","40","16","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","0","40","12","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","12","40","28","48","33","63.64","0.00123733","0.00192771","0.00952783"
"12","36","20","40","28","48","33","63.64","0.00123733","0.00192771","0.00952783"
"8","36","12","40","20","48","35","62.86","0.00139486","0.00340798","0.00980931"
"8","36","12","40","16","48","35","62.86","0.00139486","0.00340798","0.00980931"
"8","36","12","40","12","48","35","62.86","0.00139486","0.00340798","0.00980931"
"8","36","12","40","8","48","35","62.86","0.00139486","0.00340798","0.00980931"
"8","36","12","40","28","48","35","62.86","0.00139486","0.00340798","0.00980931"
"8","36","16","40","20","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","12","40","28","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","0","40","8","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","12","40","12","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","12","40","8","48","35","62.86","0.00139486","0.00340798","0.00980931"
"8","36","16","40","16","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","16","40","20","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","16","40","16","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","16","40","12","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","16","40","8","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","16","40","28","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","4","40","20","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","4","40","16","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","4","40","12","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","4","40","8","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","4","40","28","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","20","40","20","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","20","40","16","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","20","40","12","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","20","40","8","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","20","40","28","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","0","40","20","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","0","40","16","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","0","40","12","48","35","62.86","0.00139486","0.00340798","0.00980931"
"4","36","0","40","28","48","35","62.86","0.00139486","0.00340798","0.00980931"
"8","36","16","40","12","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","12","40","20","48","35","62.86","0.00139486","0.00340798","0.00980931"
"8","36","16","40","28","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","16","40","12","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","16","40","8","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","16","40","28","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","4","40","20","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","4","40","16","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","4","40","12","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","4","40","8","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","4","40","28","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","16","40","16","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","20","40","20","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","20","40","12","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","20","40","8","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","20","40","28","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","0","40","20","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","0","40","16","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","0","40","12","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","0","40","8","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","0","40","28","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","20","40","16","48","35","62.86","0.00139486","0.00340798","0.00980931"
"8","36","16","40","8","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","16","40","20","48","35","62.86","0.00139486","0.00340798","0.00980931"
"0","36","12","40","8","48","35","62.86","0.00139486","0.00340798","0.00980931"
"8","36","4","40","20","48","35","62.86","0.00139486","0.00340798","0.00980931"
"8","36","4","40","16","48","35","62.86","0.00139486","0.00340798","0.00980931"
