"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"48","64","40","56","44","52","38","71.05","0.00142391","0.0011002","0.00779998"
"48","64","28","56","44","52","38","71.05","0.00142391","0.0011002","0.00779998"
"48","64","24","56","44","52","38","71.05","0.00142391","0.0011002","0.00779998"
"48","64","12","56","44","52","38","71.05","0.00142391","0.0011002","0.00779998"
"44","64","12","56","44","52","45","68.89","0.00135551","0.00081029","0.00725264"
"44","64","28","56","44","52","45","68.89","0.00135551","0.00081029","0.00725264"
"44","64","40","56","44","52","45","68.89","0.00135551","0.00081029","0.00725264"
"44","64","24","56","44","52","45","68.89","0.00135551","0.00081029","0.00725264"
"48","64","44","56","44","52","35","68.57","0.0013791","0.00118145","0.00811725"
"44","64","44","56","44","52","42","66.67","0.00131329","0.0007438","0.00749768"
"48","60","40","56","44","52","31","64.52","-0.00016874","0.00081029","0.00557645"
"48","60","12","56","44","52","31","64.52","-0.00016874","0.00081029","0.00557645"
"48","60","24","56","44","52","31","64.52","-0.00016874","0.00081029","0.00557645"
"48","60","28","56","44","52","31","64.52","-0.00016874","0.00081029","0.00557645"
"44","60","28","56","44","52","38","63.16","4.364E-05","0.00050092","0.00519509"
"44","60","24","56","44","52","38","63.16","4.364E-05","0.00050092","0.00519509"
"44","60","12","56","44","52","38","63.16","4.364E-05","0.00050092","0.00519509"
"44","60","40","56","44","52","38","63.16","4.364E-05","0.00050092","0.00519509"
"44","60","44","56","44","52","35","60","-0.00011947","0.00060716","0.00536898"
