"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"36","60","44","52","40","52","33","66.67","-0.00050499","0.00159686","0.00886849"
"36","60","44","52","36","52","33","66.67","-0.00050499","0.00159686","0.00886849"
"36","60","44","52","32","52","33","66.67","-0.00050499","0.00159686","0.00886849"
"36","60","44","52","4","52","33","66.67","-0.00050499","0.00159686","0.00886849"
"32","60","44","52","4","52","35","65.71","-0.00047458","0.00164285","0.00863167"
"32","60","44","52","32","52","35","65.71","-0.00047458","0.00164285","0.00863167"
"32","60","44","52","40","52","35","65.71","-0.00047458","0.00164285","0.00863167"
"32","60","44","52","36","52","35","65.71","-0.00047458","0.00164285","0.00863167"
"36","60","36","52","36","52","57","64.91","0.00189568","0.00164989","0.01182352"
"36","60","36","52","32","52","57","64.91","0.00189568","0.00164989","0.01182352"
"36","60","36","52","4","52","57","64.91","0.00189568","0.00164989","0.01182352"
"36","60","36","52","40","52","56","64.29","0.00165965","0.00164637","0.01179477"
"36","60","32","48","4","52","52","63.46","0.00191835","0.00183613","0.01224337"
"36","60","32","48","36","52","52","63.46","0.00191835","0.00183613","0.01224337"
"36","60","32","48","32","52","52","63.46","0.00191835","0.00183613","0.01224337"
"32","44","32","48","4","52","41","63.41","0.0014693","0.00164989","0.01289414"
"32","44","32","48","32","52","41","63.41","0.0014693","0.00164989","0.01289414"
"32","44","32","48","36","52","41","63.41","0.0014693","0.00164989","0.01289414"
"36","60","44","52","44","52","30","63.33","-0.00114263","0.00125836","0.00902081"
"36","60","36","48","4","52","49","63.27","0.00201584","0.00164989","0.01252038"
"36","60","36","48","32","52","49","63.27","0.00201584","0.00164989","0.01252038"
"36","60","36","48","36","52","49","63.27","0.00201584","0.00164989","0.01252038"
"32","44","36","52","32","52","38","63.16","0.00148806","0.00172942","0.01325185"
"32","44","36","52","36","52","38","63.16","0.00148806","0.00172942","0.01325185"
"32","44","36","52","40","52","38","63.16","0.00148806","0.00172942","0.01325185"
"32","44","36","52","4","52","38","63.16","0.00148806","0.00172942","0.01325185"
"36","60","36","48","40","52","48","62.5","0.00174298","0.00164637","0.0125051"
"32","60","44","52","44","52","32","62.5","-0.00106951","0.00125836","0.00875987"
"32","60","36","52","36","52","68","61.76","0.00083509","0.00164637","0.01175511"
"32","60","36","52","32","52","68","61.76","0.00083509","0.00164637","0.01175511"
"32","60","36","52","4","52","68","61.76","0.00083509","0.00164637","0.01175511"
"32","44","32","48","40","52","39","61.54","0.00131461","0.00164989","0.01320043"
"32","40","32","48","4","52","31","61.29","-0.0008081","0.00164285","0.00842152"
"32","40","32","48","32","52","31","61.29","-0.0008081","0.00164285","0.00842152"
"32","40","32","48","36","52","31","61.29","-0.0008081","0.00164285","0.00842152"
"36","60","32","48","40","52","49","61.22","0.00154428","0.00164285","0.01245317"
"32","60","36","52","40","52","67","61.19","0.00062198","0.00164989","0.0117114"
"32","44","36","48","4","52","36","61.11","0.0013931","0.00164637","0.01360754"
"32","44","36","48","36","52","36","61.11","0.0013931","0.00164637","0.01360754"
"32","44","36","48","40","52","36","61.11","0.0013931","0.00164637","0.01360754"
"32","44","36","48","32","52","36","61.11","0.0013931","0.00164637","0.01360754"
"32","60","32","48","36","52","64","60.94","0.00086173","0.00164637","0.01203303"
"32","60","32","48","4","52","64","60.94","0.00086173","0.00164637","0.01203303"
"32","60","32","48","32","52","64","60.94","0.00086173","0.00164637","0.01203303"
"36","60","40","52","4","52","48","60.42","0.00015418","0.00125836","0.00949217"
"36","60","40","52","32","52","48","60.42","0.00015418","0.00125836","0.00949217"
"36","60","40","52","40","52","48","60.42","0.00015418","0.00125836","0.00949217"
"36","60","40","52","36","52","48","60.42","0.00015418","0.00125836","0.00949217"
"32","40","32","48","40","52","30","60","-0.00095403","0.00121779","0.00852209"
"32","60","36","48","4","52","59","59.32","0.00076375","0.00164989","0.01242646"
"32","60","36","48","32","52","59","59.32","0.00076375","0.00164989","0.01242646"
"32","60","36","48","36","52","59","59.32","0.00076375","0.00164989","0.01242646"
"32","60","40","52","40","52","54","59.26","-0.00037494","0.00125836","0.00975842"
"32","60","40","52","32","52","54","59.26","-0.00037494","0.00125836","0.00975842"
"32","60","40","52","4","52","54","59.26","-0.00037494","0.00125836","0.00975842"
"32","60","40","52","36","52","54","59.26","-0.00037494","0.00125836","0.00975842"
"32","60","32","48","40","52","61","59.02","0.00050928","0.00124065","0.01216564"
"32","60","36","48","40","52","58","58.62","0.00051634","0.00141889","0.01238822"
"36","60","36","52","44","52","38","57.89","0.0003369","0.00075088","0.0131617"
"36","60","40","48","4","52","40","57.5","-4.692E-05","0.00071622","0.01004126"
"36","60","40","48","36","52","40","57.5","-4.692E-05","0.00071622","0.01004126"
"36","60","40","48","32","52","40","57.5","-4.692E-05","0.00071622","0.01004126"
"36","60","40","48","40","52","40","57.5","-4.692E-05","0.00071622","0.01004126"
"32","60","36","52","44","52","46","56.52","-0.00046588","0.00075088","0.01274791"
"32","60","40","48","4","52","45","55.56","-0.00071049","0.00030683","0.01035835"
"32","60","40","48","32","52","45","55.56","-0.00071049","0.00030683","0.01035835"
"32","60","40","48","40","52","45","55.56","-0.00071049","0.00030683","0.01035835"
"32","60","40","48","36","52","45","55.56","-0.00071049","0.00030683","0.01035835"
"36","60","40","52","44","52","36","55.56","-0.00138267","0.0001946","0.00920393"
"32","60","40","52","44","52","42","54.76","-0.00184341","0.0001946","0.00951137"
"36","60","36","48","44","52","30","53.33","0.00011749","7.951E-05","0.01448426"
"36","60","32","48","44","52","30","53.33","0.00011749","7.951E-05","0.01448426"
"32","60","32","48","44","52","37","51.35","-0.00089609","7.665E-05","0.01390787"
"32","60","36","48","44","52","37","51.35","-0.00089609","7.665E-05","0.01390787"
"32","60","40","48","44","52","33","48.48","-0.00270146","-0.00038473","0.01015433"
