"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"8","28","20","36","32","44","31","58.06","0.00108156","0.00128346","0.01110641"
"4","28","16","36","32","44","31","58.06","0.00108156","0.00128346","0.01110641"
"8","28","0","36","32","44","31","58.06","0.00108156","0.00128346","0.01110641"
"4","28","12","36","32","44","31","58.06","0.00108156","0.00128346","0.01110641"
"8","28","4","36","32","44","31","58.06","0.00108156","0.00128346","0.01110641"
"4","28","8","36","32","44","31","58.06","0.00108156","0.00128346","0.01110641"
"4","28","20","36","32","44","31","58.06","0.00108156","0.00128346","0.01110641"
"8","28","12","36","32","44","31","58.06","0.00108156","0.00128346","0.01110641"
"4","28","4","36","32","44","31","58.06","0.00108156","0.00128346","0.01110641"
"8","28","8","36","32","44","31","58.06","0.00108156","0.00128346","0.01110641"
"8","28","16","36","32","44","31","58.06","0.00108156","0.00128346","0.01110641"
"4","28","0","36","32","44","31","58.06","0.00108156","0.00128346","0.01110641"
"4","28","4","36","12","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","20","36","16","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","20","36","20","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","0","36","28","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","16","36","12","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","16","36","8","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","0","36","8","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","16","36","28","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","16","36","16","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","16","36","20","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","0","36","12","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","12","36","12","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","12","36","8","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","12","36","28","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","12","36","16","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","12","36","20","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","4","36","20","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","8","36","12","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","8","36","8","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","8","36","28","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","8","36","16","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","8","36","20","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","4","36","16","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","4","36","28","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","4","36","8","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","20","36","28","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","0","36","20","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","20","36","12","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","20","36","12","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","20","36","8","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","20","36","28","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","20","36","16","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","20","36","20","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","16","36","12","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","16","36","8","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","16","36","28","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","16","36","16","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","16","36","20","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","12","36","12","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","12","36","8","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","12","36","28","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","12","36","16","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","20","36","8","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","12","36","20","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","8","36","8","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","8","36","28","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","8","36","16","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","8","36","20","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","4","36","12","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","4","36","8","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","4","36","28","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","4","36","16","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","4","36","20","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","0","36","12","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","0","36","8","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","0","36","28","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","0","36","16","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","0","36","16","44","35","57.14","0.0010945","0.00128346","0.0109465"
"8","28","8","36","12","44","35","57.14","0.0010945","0.00128346","0.0109465"
"4","28","0","36","20","44","35","57.14","0.0010945","0.00128346","0.0109465"
