"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"44","60","48","56","36","64","31","67.74","0.00052107","0.00162392","0.00667944"
"44","60","48","56","24","64","31","67.74","0.00052107","0.00162392","0.00667944"
"44","60","48","56","12","64","31","67.74","0.00052107","0.00162392","0.00667944"
"44","60","48","56","0","64","31","67.74","0.00052107","0.00162392","0.00667944"
"44","60","48","56","48","64","30","66.67","0.00038422","0.00118856","0.00674696"
"40","60","48","56","0","64","35","65.71","0.00055979","0.00125334","0.00637825"
"40","60","48","56","12","64","35","65.71","0.00055979","0.00125334","0.00637825"
"40","60","48","56","36","64","35","65.71","0.00055979","0.00125334","0.00637825"
"40","60","48","56","24","64","35","65.71","0.00055979","0.00125334","0.00637825"
"40","60","48","56","48","64","34","64.71","0.00044018","0.00102143","0.00643256"
"44","60","44","52","36","64","35","62.86","0.00069766","0.00134737","0.00594869"
"44","60","44","52","24","64","35","62.86","0.00069766","0.00134737","0.00594869"
"44","60","44","52","12","64","35","62.86","0.00069766","0.00134737","0.00594869"
"44","60","44","52","0","64","35","62.86","0.00069766","0.00134737","0.00594869"
"40","56","44","52","48","64","34","61.76","0.00044533","0.00045733","0.00595178"
"40","60","44","52","48","64","34","61.76","0.00044533","0.00045733","0.00595178"
"44","56","44","52","36","64","31","61.29","0.00036063","0.00091908","0.00608278"
"44","56","44","52","0","64","31","61.29","0.00036063","0.00091908","0.00608278"
"44","56","44","52","12","64","31","61.29","0.00036063","0.00091908","0.00608278"
"44","56","44","52","24","64","31","61.29","0.00036063","0.00091908","0.00608278"
"40","60","44","52","36","64","46","60.87","0.00066448","0.00072212","0.00568403"
"40","60","44","52","24","64","46","60.87","0.00066448","0.00072212","0.00568403"
"40","60","44","52","12","64","46","60.87","0.00066448","0.00072212","0.00568403"
"40","60","44","52","0","64","46","60.87","0.00066448","0.00072212","0.00568403"
"40","56","44","52","36","64","42","59.52","0.00041256","0.00045733","0.00576277"
"40","56","44","52","24","64","42","59.52","0.00041256","0.00045733","0.00576277"
"40","56","44","52","12","64","42","59.52","0.00041256","0.00045733","0.00576277"
"40","56","44","52","0","64","42","59.52","0.00041256","0.00045733","0.00576277"
