"RSI6_Min","RSI6_Max","RSI14_Min","RSI14_Max","RSI30_Min","RSI30_Max","Samples","WinRatePct","MeanRet","MedianRet","StdRet"
"8","32","0","40","36","48","31","67.74","0.00169538","0.00254615","0.00526054"
"4","32","8","40","36","48","31","67.74","0.00169538","0.00254615","0.00526054"
"4","32","24","40","36","48","31","67.74","0.00169538","0.00254615","0.00526054"
"8","32","8","40","36","48","31","67.74","0.00169538","0.00254615","0.00526054"
"8","32","4","40","36","48","31","67.74","0.00169538","0.00254615","0.00526054"
"4","32","20","40","36","48","31","67.74","0.00169538","0.00254615","0.00526054"
"4","32","4","40","36","48","31","67.74","0.00169538","0.00254615","0.00526054"
"8","32","12","40","36","48","31","67.74","0.00169538","0.00254615","0.00526054"
"8","32","20","40","36","48","31","67.74","0.00169538","0.00254615","0.00526054"
"8","32","24","40","36","48","31","67.74","0.00169538","0.00254615","0.00526054"
"8","32","16","40","36","48","31","67.74","0.00169538","0.00254615","0.00526054"
"4","32","0","40","36","48","31","67.74","0.00169538","0.00254615","0.00526054"
"4","32","12","40","36","48","31","67.74","0.00169538","0.00254615","0.00526054"
"4","32","16","40","36","48","31","67.74","0.00169538","0.00254615","0.00526054"
"4","32","20","40","28","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","20","40","24","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","20","40","20","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","0","40","24","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","0","40","28","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","20","40","16","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","20","40","8","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","20","40","0","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","16","40","28","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","8","40","0","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","16","40","0","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","16","40","24","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","16","40","20","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","16","40","8","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","16","40","16","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","8","40","20","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","8","40","16","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","12","40","20","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","12","40","16","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","12","40","8","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","12","40","0","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","4","40","28","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","4","40","24","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","4","40","20","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","4","40","16","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","4","40","8","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","4","40","0","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","24","40","28","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","24","40","24","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","24","40","20","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","24","40","16","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","24","40","8","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","24","40","0","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","8","40","28","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","8","40","24","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","0","40","20","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","8","40","8","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","0","40","16","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","12","40","28","48","33","66.67","0.00178873","0.00251942","0.00570346"
"4","32","0","40","0","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","8","40","0","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","20","40","28","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","20","40","24","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","20","40","20","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","20","40","16","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","20","40","8","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","20","40","0","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","16","40","28","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","16","40","24","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","16","40","20","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","16","40","16","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","16","40","8","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","16","40","0","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","0","40","28","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","0","40","24","48","33","66.67","0.00178873","0.00251942","0.00570346"
"8","32","0","40","20","48","33","66.67","0.00178873","0.00251942","0.00570346"
