"Symbol","BestTP","BestSL","Profit","WinRate"
"YFI-USDT-SWAP","0,5","1,3","1180,965","100"
"BTC-USD-SWAP","0,5","0,6","1176,145","100"
"BTC-USDC-SWAP","0,5","0,6","1176,0495","100"
"BTC-USDT-SWAP","0,5","0,6","1175,995","100"
"ETH-USDC-SWAP","0,5","1,1","611,15955","100"
"BTC-USDT-SWAP","0,5","0,5","592,79","66,67"
"BTC-USD-SWAP","0,5","0,5","592,777","66,67"
"BTC-USDC-SWAP","0,5","0,5","592,724","66,67"
"ETH-USDT-SWAP","0,5","1,1","591,45255","100"
"ETH-USD-SWAP","0,5","1,2","570,82765","100"
"MKR-USDT-SWAP","0,5","3","551,012","100"
"YFI-USDT-SWAP","0,5","0,5","465,755","62,12"
"ETH-USD-SWAP","1","1","202,9283","85,71"
"ETH-USDC-SWAP","1","1","202,8854","85,71"
"ETH-USDT-SWAP","1","1","202,8460","85,71"
"MKR-USDT-SWAP","0,5","0,5","130,4805","56,84"
"TAO-USDT-SWAP","0,5","1,9","111,598","100"
"AAVE-USDT-SWAP","0,5","1,6","80,78395","100"
"LTC-USDT-SWAP","0,5","1,8","34,82245","100"
"BCH-USDT-SWAP","0,6","1,9","34,4454","100"
"BCH-USD-SWAP","0,5","1,9","31,5905","100"
"LTC-USD-SWAP","0,5","1,8","30,56025","100"
"TAO-USDT-SWAP","0,5","0,5","29,639","57,84"
"SOL-USDT-SWAP","0,5","1,7","28,50885","100"
"BNB-USDT-SWAP","0,5","1,3","27,8225","100"
"SOL-USD-SWAP","0,5","1,7","27,61465","100"
"AAVE-USDT-SWAP","0,8","0,8","20,96912","63,64"
"COMP-USDT-SWAP","0,5","2,5","19,2511","98,73"
"BCH-USD-SWAP","3","1,9","17,016","100"
"BCH-USDT-SWAP","3","1,9","17,013","100"
"HYPE-USDT-SWAP","0,5","1,2","14,756295","100"
"LINK-USDT-SWAP","0,5","2,1","10,61171","100"
"LINK-USD-SWAP","0,5","2,1","10,40413","100"
"METIS-USDT-SWAP","0,5","2,6","10,16515","100"
"ENS-USDT-SWAP","0,5","1,8","9,501755","100"
"COMP-USDT-SWAP","1,2","1,2","7,76244","68,75"
"TRB-USDT-SWAP","0,5","2","7,69825","100"
"ETC-USDT-SWAP","0,5","2,2","6,682","100"
"ETC-USD-SWAP","0,5","2,2","6,10515","100"
"GMX-USDT-SWAP","1","3","5,8432","89,29"
"LTC-USDT-SWAP","0,5","0,5","5,36655","54,29"
"INJ-USDT-SWAP","0,5","1,8","5,110945","100"
"SSV-USDT-SWAP","0,5","2","5,02604","100"
"LTC-USD-SWAP","2","1,8","4,8786","100"
"AVAX-USDT-SWAP","0,5","1,7","4,622735","100"
"AVAX-USD-SWAP","0,5","1,6","4,40056","100"
"ORDI-USDT-SWAP","0,5","2,3","4,397275","100"
"GMX-USDT-SWAP","1,5","0,5","3,66615","32,17"
"METIS-USDT-SWAP","0,5","0,5","3,54605","60,11"
"SOL-USD-SWAP","1","1","3,5358","66,67"
"LINK-USDT-SWAP","0,9","0,9","3,506463","62,34"
"AR-USDT-SWAP","0,5","1,7","3,23672","100"
"UNI-USDT-SWAP","0,5","1,5","3,16355","98,41"
"LINK-USD-SWAP","0,9","0,9","3,111228","61,04"
"ENS-USDT-SWAP","2,1","1,8","3,090738","100"
"UNI-USD-SWAP","0,5","1,5","3,007325","98,33"
"EGLD-USDT-SWAP","0,5","2,1","2,80925","100"
"KSM-USDT-SWAP","0,5","1,8","2,75796","97,56"
"CVX-USDT-SWAP","0,5","3","2,25831","100"
"IP-USDT-SWAP","0,5","2,6","2,1382048","98,61"
"ETC-USD-SWAP","0,7","0,7","1,73285","62,22"
"SOL-USDT-SWAP","0,5","0,5","1,6728","51,61"
"ETC-USDT-SWAP","1","1","1,5956","65,22"
"NMR-USDT-SWAP","0,5","1,7","1,557365","100"
"RAY-USDT-SWAP","0,5","2,1","1,522974","100"
"FXS-USDT-SWAP","0,5","2,6","1,42641","100"
"SSV-USDT-SWAP","1,2","1,2","1,41954","67,65"
"LPT-USDT-SWAP","0,5","1,9","1,41378","100"
"SPX-USDT-SWAP","0,5","2,4","1,2962995","100"
"AUCTION-USDT-SWAP","0,5","2,2","1,25392","100"
"HYPE-USDT-SWAP","1","1","1,23480","61,54"
"ORDI-USDT-SWAP","0,5","0,5","1,20501","58"
"TRUMP-USDT-SWAP","0,5","1,9","1,166695","100"
"NEO-USDT-SWAP","0,5","2","1,120565","100"
"SUI-USDT-SWAP","0,5","2,3","1,0559555","100"
"APT-USDT-SWAP","0,5","1,7","0,99233","100"
"RENDER-USDT-SWAP","0,5","2,3","0,986785","100"
"ICP-USDT-SWAP","0,5","2,6","0,98296","100"
"AERO-USDT-SWAP","0,8","2,7","0,9820232","100"
"SUI-USD-SWAP","0,5","2,3","0,9793055","100"
"IP-USDT-SWAP","0,7","0,7","0,8588167","63,77"
"UNI-USD-SWAP","0,6","0,6","0,837138","57,65"
"MORPHO-USDT-SWAP","0,5","2,9","0,8308735","100"
"LDO-USDT-SWAP","0,5","3","0,8249855","100"
"DOT-USDT-SWAP","0,5","1,7","0,79532","100"
"UNI-USDT-SWAP","1,2","1,2","0,767664","71,43"
"NEAR-USDT-SWAP","0,5","1,7","0,74309","100"
"FARTCOIN-USDT-SWAP","0,5","2,1","0,7153535","100"
"ETHFI-USDT-SWAP","0,5","2,8","0,699017","100"
"DOT-USD-SWAP","0,5","1,6","0,69597","100"
"EIGEN-USDT-SWAP","0,5","2,1","0,6640855","100"
"TIA-USDT-SWAP","0,5","2,4","0,65511","100"
"EGLD-USDT-SWAP","2,1","2,1","0,64155","100"
"AR-USDT-SWAP","0,5","0,5","0,617375","55,48"
"VIRTUAL-USDT-SWAP","0,5","2,6","0,6127705","100"
"VANA-USDT-SWAP","0,5","2,1","0,607275","100"
