"Symbol","BestTP","BestSL","Profit","WinRate"
"BTC-USD-SWAP","0,5","0,6","1176,145","100"
"BTC-USDC-SWAP","0,5","0,6","1176,0495","100"
"BTC-USDT-SWAP","0,5","0,6","1175,995","100"
"YFI-USDT-SWAP","0,5","1,3","1115,075","100"
"ETH-USDC-SWAP","0,5","1,1","644,6605","100"
"ETH-USDT-SWAP","0,5","1,1","624,93955","100"
"ETH-USD-SWAP","0,5","1,2","604,32625","100"
"MKR-USDT-SWAP","0,5","3","567,9075","100"
"TAO-USDT-SWAP","0,5","1,9","107,199","100"
"AAVE-USDT-SWAP","0,5","1,6","74,55515","100"
"BCH-USDT-SWAP","0,6","1,9","41,448","100"
"BCH-USD-SWAP","0,5","1,9","37,4145","100"
"LTC-USDT-SWAP","0,5","1,8","32,85935","100"
"BNB-USDT-SWAP","0,5","1,3","31,6535","100"
"LTC-USD-SWAP","0,5","1,8","29,8205","100"
"SOL-USD-SWAP","0,5","1,7","28,3708","100"
"SOL-USDT-SWAP","0,5","1,7","28,3706","100"
"COMP-USDT-SWAP","0,5","2,5","17,8006","98,65"
"HYPE-USDT-SWAP","0,5","1,2","13,87862","100"
"ENS-USDT-SWAP","0,5","1,8","9,72651","100"
"LINK-USDT-SWAP","0,5","2,1","9,684015","100"
"LINK-USD-SWAP","0,5","2,1","9,36591","100"
"METIS-USDT-SWAP","0,5","2,6","9,35675","100"
"TRB-USDT-SWAP","0,5","2","7,6543","100"
"ETC-USDT-SWAP","0,5","2,2","6,63815","100"
"ETC-USD-SWAP","0,5","2,2","6,0612","100"
"INJ-USDT-SWAP","0,5","1,8","5,27941","100"
"SSV-USDT-SWAP","0,5","2","4,795465","100"
"GMX-USDT-SWAP","1,7","3","4,62587000","79,41"
"AVAX-USDT-SWAP","0,5","1,7","4,254095","100"
"AVAX-USD-SWAP","0,5","1,6","4,149475","100"
"ORDI-USDT-SWAP","0,5","2,3","4,065105","100"
"AR-USDT-SWAP","0,5","1,7","3,190825","100"
"UNI-USDT-SWAP","0,5","1,5","2,97698","98,33"
"UNI-USD-SWAP","0,5","1,5","2,820735","98,25"
