🔄 2025-09-02 15:14:30 Баланс: 1000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-02 15:23:52 Баланс: 979.96131710213$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-02 15:33:09 Баланс: 969.952319111937$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-02 15:42:26 Баланс: 969.952319111937$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-02 15:51:57 Баланс: 969.952319111937$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-02 16:01:21 Баланс: 969.952319111937$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-02 16:11:16 Баланс: 969.952319111937$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-02 16:21:08 Баланс: 969.952319111937$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-02 16:30:56 Баланс: 969.952319111937$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-02 16:41:12 Баланс: 969.952319111937$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-02 16:51:18 Баланс: 979.558067013937$ | PnL: -0.39425009 💵 | Сделок: 1 | WinRate: 0%
🔄 2025-09-02 17:00:56 Баланс: 979.558067013937$ | PnL: -0.39425009 💵 | Сделок: 1 | WinRate: 0%
🔄 2025-09-02 17:10:38 Баланс: 979.558067013937$ | PnL: -0.39425009 💵 | Сделок: 1 | WinRate: 0%
🔄 2025-09-02 17:20:13 Баланс: 988.922657693937$ | PnL: -1.02966371 💵 | Сделок: 2 | WinRate: 0%
🔄 2025-09-02 17:29:27 Баланс: 978.913657389664$ | PnL: -1.02966371 💵 | Сделок: 2 | WinRate: 0%
🔄 2025-09-02 17:39:08 Баланс: 808.759389139308$ | PnL: -1.02966371 💵 | Сделок: 2 | WinRate: 0%
🔄 2025-09-02 17:48:21 Баланс: 358.354695403598$ | PnL: -1.02966371 💵 | Сделок: 2 | WinRate: 0%
🔄 2025-09-02 17:57:17 Баланс: 108.134374284604$ | PnL: -1.02966371 💵 | Сделок: 2 | WinRate: 0%
🔄 2025-09-02 18:05:41 Баланс: 108.134374284604$ | PnL: -1.02966371 💵 | Сделок: 2 | WinRate: 0%
🔄 2025-09-02 18:13:26 Баланс: 108.134374284604$ | PnL: -1.02966371 💵 | Сделок: 2 | WinRate: 0%
🔄 2025-09-02 18:21:08 Баланс: 108.134374284604$ | PnL: -1.02966371 💵 | Сделок: 2 | WinRate: 0%
🔄 2025-09-02 18:29:01 Баланс: 87.9433024099794$ | PnL: -1.02966371 💵 | Сделок: 2 | WinRate: 0%
🔄 2025-09-02 18:36:51 Баланс: 87.9433024099794$ | PnL: -1.02966371 💵 | Сделок: 2 | WinRate: 0%
🔄 2025-09-02 18:44:31 Баланс: 77.9393569549794$ | PnL: -1.02966371 💵 | Сделок: 2 | WinRate: 0%
🔄 2025-09-02 18:53:02 Баланс: 67.9027321149794$ | PnL: -1.02966371 💵 | Сделок: 2 | WinRate: 0%
🔄 2025-09-02 19:01:20 Баланс: 79.1443074689794$ | PnL: 0.21191134 💵 | Сделок: 3 | WinRate: 33.33%
🔄 2025-09-02 19:09:04 Баланс: 69.135308133577$ | PnL: 0.21191134 💵 | Сделок: 3 | WinRate: 33.33%
🔄 2025-09-02 19:16:38 Баланс: 69.135308133577$ | PnL: 0.21191134 💵 | Сделок: 3 | WinRate: 33.33%
🔄 2025-09-02 19:24:34 Баланс: 78.081962679577$ | PnL: -0.84143345 💵 | Сделок: 4 | WinRate: 25%
🔄 2025-09-02 19:32:22 Баланс: 78.081962679577$ | PnL: -0.84143345 💵 | Сделок: 4 | WinRate: 25%
🔄 2025-09-02 19:40:14 Баланс: 78.081962679577$ | PnL: -0.84143345 💵 | Сделок: 4 | WinRate: 25%
🔄 2025-09-02 19:48:03 Баланс: 87.829283239577$ | PnL: -1.09438499 💵 | Сделок: 5 | WinRate: 20%
🔄 2025-09-02 19:55:55 Баланс: 97.538330619577$ | PnL: -1.38548561 💵 | Сделок: 6 | WinRate: 16.67%
🔄 2025-09-02 20:03:45 Баланс: 107.212366019977$ | PnL: -1.71145025 💵 | Сделок: 7 | WinRate: 14.29%
🔄 2025-09-02 20:11:38 Баланс: 107.212366019977$ | PnL: -1.71145025 💵 | Сделок: 7 | WinRate: 14.29%
🔄 2025-09-02 20:19:25 Баланс: 107.212366019977$ | PnL: -1.71145025 💵 | Сделок: 7 | WinRate: 14.29%
🔄 2025-09-02 20:27:15 Баланс: 107.212366019977$ | PnL: -1.71145025 💵 | Сделок: 7 | WinRate: 14.29%
