🔄 2025-09-02 17:27:01 Баланс: 9.3364731237049$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-02 17:29:21 Баланс: 9.3364731237049$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-02 17:31:40 Баланс: 9.3364731237049$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-02 17:34:03 Баланс: 9.3364731237049$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-02 17:36:28 Баланс: 9.3364731237049$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-02 17:41:00 Баланс: 658.221692302033$ | PnL: -11.00294211 💵 | Сделок: 83 | WinRate: 0%
🔄 2025-09-02 17:46:04 Баланс: 676.742726183498$ | PnL: -12.02758251 💵 | Сделок: 91 | WinRate: 0%
🔄 2025-09-02 17:51:16 Баланс: 393.063992445792$ | PnL: -13.22306233 💵 | Сделок: 97 | WinRate: 0%
🔄 2025-09-02 17:56:44 Баланс: 121.627382721456$ | PnL: -13.29404897 💵 | Сделок: 98 | WinRate: 0%
🔄 2025-09-02 18:01:59 Баланс: 11.1214100442095$ | PnL: -13.63401392 💵 | Сделок: 100 | WinRate: 0%
🔄 2025-09-02 18:06:51 Баланс: 12.1709810483875$ | PnL: -12.5664126 💵 | Сделок: 102 | WinRate: 1.96%
🔄 2025-09-02 18:10:20 Баланс: 2.16197395000471$ | PnL: -12.5664126 💵 | Сделок: 102 | WinRate: 1.96%
🔄 2025-09-02 18:12:38 Баланс: 2.16197395000471$ | PnL: -12.5664126 💵 | Сделок: 102 | WinRate: 1.96%
🔄 2025-09-02 18:14:55 Баланс: 2.16197395000471$ | PnL: -12.5664126 💵 | Сделок: 102 | WinRate: 1.96%
🔄 2025-09-02 18:17:12 Баланс: 2.16197395000471$ | PnL: -12.5664126 💵 | Сделок: 102 | WinRate: 1.96%
🔄 2025-09-02 18:19:33 Баланс: 2.04676274285471$ | PnL: -12.67262037 💵 | Сделок: 103 | WinRate: 1.94%
🔄 2025-09-02 18:21:50 Баланс: 2.04676274285471$ | PnL: -12.67262037 💵 | Сделок: 103 | WinRate: 1.94%
🔄 2025-09-02 18:24:05 Баланс: 2.04676274285471$ | PnL: -12.67262037 💵 | Сделок: 103 | WinRate: 1.94%
🔄 2025-09-02 18:26:34 Баланс: 2.04676274285471$ | PnL: -12.67262037 💵 | Сделок: 103 | WinRate: 1.94%
🔄 2025-09-02 18:29:23 Баланс: 2.37141734245471$ | PnL: -12.33326954 💵 | Сделок: 104 | WinRate: 2.88%
🔄 2025-09-02 18:31:55 Баланс: 12.5056461342117$ | PnL: -12.19004579 💵 | Сделок: 106 | WinRate: 3.77%
🔄 2025-09-02 18:34:27 Баланс: 2.49709053381171$ | PnL: -12.19004579 💵 | Сделок: 106 | WinRate: 3.77%
🔄 2025-09-02 18:36:45 Баланс: 2.49709053381171$ | PnL: -12.19004579 💵 | Сделок: 106 | WinRate: 3.77%
🔄 2025-09-02 18:39:49 Баланс: 2.8351372708769$ | PnL: -11.828066 💵 | Сделок: 108 | WinRate: 5.56%
🔄 2025-09-02 18:42:05 Баланс: 2.8351372708769$ | PnL: -11.828066 💵 | Сделок: 108 | WinRate: 5.56%
🔄 2025-09-02 18:44:23 Баланс: 2.8351372708769$ | PnL: -11.828066 💵 | Сделок: 108 | WinRate: 5.56%
🔄 2025-09-02 18:46:47 Баланс: 13.0181895308769$ | PnL: -11.78747374 💵 | Сделок: 109 | WinRate: 6.42%
🔄 2025-09-02 18:49:07 Баланс: 2.9953370748769$ | PnL: -11.78747374 💵 | Сделок: 109 | WinRate: 6.42%
🔄 2025-09-02 18:52:00 Баланс: 2.9953370748769$ | PnL: -11.78747374 💵 | Сделок: 109 | WinRate: 6.42%
🔄 2025-09-02 18:54:47 Баланс: 2.9953370748769$ | PnL: -11.78747374 💵 | Сделок: 109 | WinRate: 6.42%
🔄 2025-09-02 18:58:01 Баланс: 2.47328693479691$ | PnL: -12.45153428 💵 | Сделок: 112 | WinRate: 6.25%
🔄 2025-09-02 19:00:26 Баланс: 3.33614489832871$ | PnL: -11.57967829 💵 | Сделок: 113 | WinRate: 7.08%
🔄 2025-09-02 19:02:45 Баланс: 3.33614489832871$ | PnL: -11.57967829 💵 | Сделок: 113 | WinRate: 7.08%
🔄 2025-09-02 19:05:02 Баланс: 3.33614489832871$ | PnL: -11.57967829 💵 | Сделок: 113 | WinRate: 7.08%
🔄 2025-09-02 19:07:45 Баланс: 12.6320188722287$ | PnL: -12.30596677 💵 | Сделок: 117 | WinRate: 6.84%
🔄 2025-09-02 19:10:01 Баланс: 2.67786819222871$ | PnL: -12.30596677 💵 | Сделок: 117 | WinRate: 6.84%
🔄 2025-09-02 19:12:17 Баланс: 2.67786819222871$ | PnL: -12.30596677 💵 | Сделок: 117 | WinRate: 6.84%
🔄 2025-09-02 19:14:32 Баланс: 2.67786819222871$ | PnL: -12.30596677 💵 | Сделок: 117 | WinRate: 6.84%
🔄 2025-09-02 19:16:50 Баланс: 2.67786819222871$ | PnL: -12.30596677 💵 | Сделок: 117 | WinRate: 6.84%
🔄 2025-09-02 19:19:10 Баланс: 2.67786819222871$ | PnL: -12.30596677 💵 | Сделок: 117 | WinRate: 6.84%
🔄 2025-09-02 19:21:30 Баланс: 2.67786819222871$ | PnL: -12.30596677 💵 | Сделок: 117 | WinRate: 6.84%
🔄 2025-09-02 19:23:52 Баланс: 2.49629953140071$ | PnL: -12.47842616 💵 | Сделок: 118 | WinRate: 6.78%
🔄 2025-09-02 19:26:12 Баланс: 2.31818295060071$ | PnL: -12.64737073 💵 | Сделок: 119 | WinRate: 6.72%
🔄 2025-09-02 19:28:42 Баланс: 1.47033448887711$ | PnL: -13.45927085 💵 | Сделок: 123 | WinRate: 6.5%
🔄 2025-09-02 19:31:02 Баланс: 1.47033448887711$ | PnL: -13.45927085 💵 | Сделок: 123 | WinRate: 6.5%
🔄 2025-09-02 19:33:23 Баланс: 1.47033448887711$ | PnL: -13.45927085 💵 | Сделок: 123 | WinRate: 6.5%
🔄 2025-09-02 19:35:45 Баланс: 0.693448891521708$ | PnL: -14.20916447 💵 | Сделок: 126 | WinRate: 6.35%
🔄 2025-09-02 19:38:24 Баланс: 6.80194856564434$ | PnL: -17.90421344 💵 | Сделок: 147 | WinRate: 6.12%
🔄 2025-09-02 19:40:47 Баланс: 5.97695893749155$ | PnL: -18.69250829 💵 | Сделок: 151 | WinRate: 5.96%
🔄 2025-09-02 19:43:09 Баланс: 5.75435279356355$ | PnL: -18.90611369 💵 | Сделок: 152 | WinRate: 5.92%
🔄 2025-09-02 19:45:34 Баланс: 5.15363831263305$ | PnL: -19.47965354 💵 | Сделок: 155 | WinRate: 5.81%
🔄 2025-09-02 19:48:00 Баланс: 4.70579874885344$ | PnL: -19.90945265 💵 | Сделок: 157 | WinRate: 5.73%
🔄 2025-09-02 19:50:17 Баланс: 4.70579874885344$ | PnL: -19.90945265 💵 | Сделок: 157 | WinRate: 5.73%
🔄 2025-09-02 19:52:43 Баланс: 12.4095184769197$ | PnL: -22.11258063 💵 | Сделок: 169 | WinRate: 5.33%
🔄 2025-09-02 19:55:18 Баланс: 0.166711029009784$ | PnL: -24.26990312 💵 | Сделок: 180 | WinRate: 5%
🔄 2025-09-02 19:57:38 Баланс: 0.0287382875977826$ | PnL: -24.39886611 💵 | Сделок: 181 | WinRate: 4.97%
🔄 2025-09-02 19:59:56 Баланс: 9.32520691420278$ | PnL: -25.09428327 💵 | Сделок: 184 | WinRate: 4.89%
🔄 2025-09-02 20:02:13 Баланс: 9.32520691420278$ | PnL: -25.09428327 💵 | Сделок: 184 | WinRate: 4.89%
🔄 2025-09-02 20:04:33 Баланс: 9.32520691420278$ | PnL: -25.09428327 💵 | Сделок: 184 | WinRate: 4.89%
🔄 2025-09-02 20:06:51 Баланс: 9.32520691420278$ | PnL: -25.09428327 💵 | Сделок: 184 | WinRate: 4.89%
🔄 2025-09-02 20:09:10 Баланс: 9.32520691420278$ | PnL: -25.09428327 💵 | Сделок: 184 | WinRate: 4.89%
🔄 2025-09-02 20:11:27 Баланс: 9.32520691420278$ | PnL: -25.09428327 💵 | Сделок: 184 | WinRate: 4.89%
🔄 2025-09-02 20:13:44 Баланс: 9.32520691420278$ | PnL: -25.09428327 💵 | Сделок: 184 | WinRate: 4.89%
🔄 2025-09-02 20:16:02 Баланс: 9.32520691420278$ | PnL: -25.09428327 💵 | Сделок: 184 | WinRate: 4.89%
🔄 2025-09-02 20:18:21 Баланс: 9.09289990400278$ | PnL: -25.31761548 💵 | Сделок: 185 | WinRate: 4.86%
🔄 2025-09-02 20:20:37 Баланс: 9.09289990400278$ | PnL: -25.31761548 💵 | Сделок: 185 | WinRate: 4.86%
🔄 2025-09-02 20:22:53 Баланс: 9.09289990400278$ | PnL: -25.31761548 💵 | Сделок: 185 | WinRate: 4.86%
🔄 2025-09-02 20:25:09 Баланс: 9.09289990400278$ | PnL: -25.31761548 💵 | Сделок: 185 | WinRate: 4.86%
🔄 2025-09-02 20:27:26 Баланс: 9.09289990400278$ | PnL: -25.31761548 💵 | Сделок: 185 | WinRate: 4.86%
