🔄 Новый цикл бота. Баланс: 1000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 847.168606059168$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 626.974478668308$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 336.872853469452$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 6.4715992563416$ | PnL: -0.43936492 💵 | Сделок: 1 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 8.49384477127355$ | PnL: -0.15123618 💵 | Сделок: 5 | WinRate: 60%
🔄 Новый цикл бота. Баланс: 8.14322797161355$ | PnL: 0.49364735 💵 | Сделок: 8 | WinRate: 75%
🔄 Новый цикл бота. Баланс: 8.67845308562475$ | PnL: 1.04698169 💵 | Сделок: 10 | WinRate: 80%
🔄 Новый цикл бота. Баланс: 9.39924838521476$ | PnL: 1.79414849 💵 | Сделок: 13 | WinRate: 84.62%
🔄 Новый цикл бота. Баланс: 9.39924838521476$ | PnL: 1.79414849 💵 | Сделок: 13 | WinRate: 84.62%
🔄 Новый цикл бота. Баланс: 9.39924838521476$ | PnL: 1.79414849 💵 | Сделок: 13 | WinRate: 84.62%
🔄 Новый цикл бота. Баланс: 9.39924838521476$ | PnL: 1.79414849 💵 | Сделок: 13 | WinRate: 84.62%
🔄 Новый цикл бота. Баланс: 9.39924838521476$ | PnL: 1.79414849 💵 | Сделок: 13 | WinRate: 84.62%
🔄 Новый цикл бота. Баланс: 9.39924838521476$ | PnL: 1.79414849 💵 | Сделок: 13 | WinRate: 84.62%
🔄 Новый цикл бота. Баланс: 9.39924838521476$ | PnL: 1.79414849 💵 | Сделок: 13 | WinRate: 84.62%
🔄 Новый цикл бота. Баланс: 9.39924838521476$ | PnL: 1.79414849 💵 | Сделок: 13 | WinRate: 84.62%
🔄 Новый цикл бота. Баланс: 9.39924838521476$ | PnL: 1.79414849 💵 | Сделок: 13 | WinRate: 84.62%
🔄 Новый цикл бота. Баланс: 9.39924838521476$ | PnL: 1.79414849 💵 | Сделок: 13 | WinRate: 84.62%
🔄 Новый цикл бота. Баланс: 9.17485763311476$ | PnL: 1.57885431 💵 | Сделок: 14 | WinRate: 78.57%
🔄 Новый цикл бота. Баланс: 9.71125576901476$ | PnL: 2.12422187 💵 | Сделок: 15 | WinRate: 80%
🔄 Новый цикл бота. Баланс: 9.71125576901476$ | PnL: 2.12422187 💵 | Сделок: 15 | WinRate: 80%
🔄 Новый цикл бота. Баланс: 9.71125576901476$ | PnL: 2.12422187 💵 | Сделок: 15 | WinRate: 80%
🔄 Новый цикл бота. Баланс: 9.89822281143246$ | PnL: 2.3201934 💵 | Сделок: 16 | WinRate: 81.25%
🔄 Новый цикл бота. Баланс: 9.89822281143246$ | PnL: 2.3201934 💵 | Сделок: 16 | WinRate: 81.25%
🔄 Новый цикл бота. Баланс: 9.89822281143246$ | PnL: 2.3201934 💵 | Сделок: 16 | WinRate: 81.25%
🔄 Новый цикл бота. Баланс: 9.89822281143246$ | PnL: 2.3201934 💵 | Сделок: 16 | WinRate: 81.25%
🔄 Новый цикл бота. Баланс: 9.89822281143246$ | PnL: 2.3201934 💵 | Сделок: 16 | WinRate: 81.25%
🔄 Новый цикл бота. Баланс: 0.263640867570899$ | PnL: 2.71267836 💵 | Сделок: 18 | WinRate: 83.33%
🔄 Новый цикл бота. Баланс: 0.783594351219815$ | PnL: 3.25063586 💵 | Сделок: 20 | WinRate: 85%
🔄 Новый цикл бота. Баланс: 1.12381624502431$ | PnL: 3.5998551 💵 | Сделок: 21 | WinRate: 85.71%
🔄 Новый цикл бота. Баланс: 1.12381624502431$ | PnL: 3.5998551 💵 | Сделок: 21 | WinRate: 85.71%
🔄 Новый цикл бота. Баланс: 0.991585493446713$ | PnL: 3.47662689 💵 | Сделок: 22 | WinRate: 81.82%
🔄 Новый цикл бота. Баланс: 0.991585493446713$ | PnL: 3.47662689 💵 | Сделок: 22 | WinRate: 81.82%
🔄 Новый цикл бота. Баланс: 1.24944499173371$ | PnL: 3.74346673 💵 | Сделок: 23 | WinRate: 82.61%
🔄 Новый цикл бота. Баланс: 1.87454726341649$ | PnL: 4.38690201 💵 | Сделок: 25 | WinRate: 84%
🔄 Новый цикл бота. Баланс: 2.07899552601649$ | PnL: 4.60209266 💵 | Сделок: 26 | WinRate: 84.62%
🔄 Новый цикл бота. Баланс: 2.07899552601649$ | PnL: 4.60209266 💵 | Сделок: 26 | WinRate: 84.62%
🔄 Новый цикл бота. Баланс: 2.07899552601649$ | PnL: 4.60209266 💵 | Сделок: 26 | WinRate: 84.62%
🔄 Новый цикл бота. Баланс: 2.07899552601649$ | PnL: 4.60209266 💵 | Сделок: 26 | WinRate: 84.62%
🔄 Новый цикл бота. Баланс: 2.07899552601649$ | PnL: 4.60209266 💵 | Сделок: 26 | WinRate: 84.62%
🔄 Новый цикл бота. Баланс: 2.48093803329649$ | PnL: 5.01290962 💵 | Сделок: 27 | WinRate: 85.19%
🔄 Новый цикл бота. Баланс: 2.48093803329649$ | PnL: 5.01290962 💵 | Сделок: 27 | WinRate: 85.19%
🔄 Новый цикл бота. Баланс: 13.6736729567061$ | PnL: 5.3162824 💵 | Сделок: 29 | WinRate: 86.21%
🔄 Новый цикл бота. Баланс: 2.68289014670609$ | PnL: 5.3162824 💵 | Сделок: 29 | WinRate: 86.21%
🔄 Новый цикл бота. Баланс: 2.68289014670609$ | PnL: 5.3162824 💵 | Сделок: 29 | WinRate: 86.21%
🔄 Новый цикл бота. Баланс: 2.68289014670609$ | PnL: 5.3162824 💵 | Сделок: 29 | WinRate: 86.21%
