2025-09-01 14:45:00 🔄 Баланс: 1000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 14:50:10 🔄 Баланс: 169.063771339855$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 14:55:09 🔄 Баланс: 159.054770014663$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 15:00:11 🔄 Баланс: 139.03649333988$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 15:06:02 🔄 Баланс: 139.03649333988$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 15:11:29 🔄 Баланс: 139.03649333988$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 15:16:27 🔄 Баланс: 129.027493329871$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 15:21:23 🔄 Баланс: 119.064434639871$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 15:26:37 🔄 Баланс: 119.064434639871$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 15:31:49 🔄 Баланс: 109.055434915118$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 15:36:56 🔄 Баланс: 38.775766270682$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 15:41:11 🔄 Баланс: 8.74890824234163$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 15:43:41 🔄 Баланс: 8.74890824234163$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 15:46:05 🔄 Баланс: 8.74890824234163$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 15:48:26 🔄 Баланс: 8.74890824234163$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 15:50:47 🔄 Баланс: 8.74890824234163$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 15:53:10 🔄 Баланс: 8.74890824234163$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 15:55:35 🔄 Баланс: 8.74890824234163$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 15:58:06 🔄 Баланс: 8.74890824234163$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
2025-09-01 16:00:39 🔄 Баланс: 8.74890824234163$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
