2025-09-01 11:56:12 🔄 Новый цикл бота. Баланс: 1000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 869.882964599168$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 869.882964599168$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 869.882964599168$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 879.515253569168$ | PnL: -0.36774803 💵 | Сделок: 1 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 869.506253557257$ | PnL: -0.36774803 💵 | Сделок: 1 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 869.506253557257$ | PnL: -0.36774803 💵 | Сделок: 1 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 869.506253557257$ | PnL: -0.36774803 💵 | Сделок: 1 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 869.506253557257$ | PnL: -0.36774803 💵 | Сделок: 1 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 869.506253557257$ | PnL: -0.36774803 💵 | Сделок: 1 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 869.506253557257$ | PnL: -0.36774803 💵 | Сделок: 1 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 869.506253557257$ | PnL: -0.36774803 💵 | Сделок: 1 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 879.203635097257$ | PnL: -0.67036849 💵 | Сделок: 2 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 890.096509041257$ | PnL: 0.22250466 💵 | Сделок: 3 | WinRate: 33.33%
🔄 Новый цикл бота. Баланс: 849.947302767225$ | PnL: 0.22250466 💵 | Сделок: 3 | WinRate: 33.33%
🔄 Новый цикл бота. Баланс: 859.551113034225$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 859.551113034225$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 859.551113034225$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 859.551113034225$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 859.551113034225$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 859.551113034225$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 859.551113034225$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 859.551113034225$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 859.551113034225$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 859.551113034225$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 859.551113034225$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 859.551113034225$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 849.542112503748$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 849.542112503748$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 849.542112503748$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 849.542112503748$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 849.542112503748$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 849.542112503748$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 849.542112503748$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
🔄 Новый цикл бота. Баланс: 849.542112503748$ | PnL: -0.17368509 💵 | Сделок: 4 | WinRate: 25%
