🔄 Новый цикл бота. Баланс: 1000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 9.08153359282817$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 9.08153359282817$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 9.08153359282817$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 9.08153359282817$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 8.75265223528377$ | PnL: -0.31086761 💵 | Сделок: 2 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 8.75265223528377$ | PnL: -0.31086761 💵 | Сделок: 2 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 8.75265223528377$ | PnL: -0.31086761 💵 | Сделок: 2 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 8.55733770009459$ | PnL: -0.5037503 💵 | Сделок: 4 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 7.33241288964541$ | PnL: -1.66757751 💵 | Сделок: 11 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 39.0264833067866$ | PnL: -9.49729385 💵 | Сделок: 58 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 5.30762654639971$ | PnL: -13.02777866 💵 | Сделок: 78 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 5.30762654639971$ | PnL: -13.02777866 💵 | Сделок: 78 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 5.30762654639971$ | PnL: -13.02777866 💵 | Сделок: 78 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 34.4610807912527$ | PnL: -13.85650661 💵 | Сделок: 83 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 141.7343261455$ | PnL: -16.57308228 💵 | Сделок: 95 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 209.71312772567$ | PnL: -18.5582121 💵 | Сделок: 106 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 571.997059636318$ | PnL: -26.23916258 💵 | Сделок: 145 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 581.417570176461$ | PnL: -26.78259424 💵 | Сделок: 150 | WinRate: 0.67%
🔄 Новый цикл бота. Баланс: 581.652087993731$ | PnL: -26.53896421 💵 | Сделок: 151 | WinRate: 1.32%
🔄 Новый цикл бота. Баланс: 580.989985970946$ | PnL: -27.1831756 💵 | Сделок: 153 | WinRate: 1.31%
🔄 Новый цикл бота. Баланс: 590.521417924932$ | PnL: -27.64274203 💵 | Сделок: 155 | WinRate: 1.29%
🔄 Новый цикл бота. Баланс: 590.521417924932$ | PnL: -27.64274203 💵 | Сделок: 155 | WinRate: 1.29%
🔄 Новый цикл бота. Баланс: 600.716266512656$ | PnL: -27.43908937 💵 | Сделок: 157 | WinRate: 1.91%
🔄 Новый цикл бота. Баланс: 599.712607661576$ | PnL: -28.40494628 💵 | Сделок: 161 | WinRate: 1.86%
🔄 Новый цикл бота. Баланс: 599.246526089122$ | PnL: -28.85302745 💵 | Сделок: 163 | WinRate: 1.84%
🔄 Новый цикл бота. Баланс: 598.962613216533$ | PnL: -29.1279213 💵 | Сделок: 164 | WinRate: 1.83%
🔄 Новый цикл бота. Баланс: 588.953635976998$ | PnL: -29.1279213 💵 | Сделок: 164 | WinRate: 1.83%
🔄 Новый цикл бота. Баланс: 598.172252360998$ | PnL: -28.94021921 💵 | Сделок: 166 | WinRate: 2.41%
