🔄 2025-09-16 22:59:05 Баланс: 100$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-16 23:02:03 Баланс: 36.8598738921328$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-16 23:05:35 Баланс: 36.8598738921328$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-16 23:09:10 Баланс: 35.8589413829008$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-16 23:12:49 Баланс: 35.8589413829008$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-16 23:16:26 Баланс: 27.8516964188996$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-16 23:20:07 Баланс: 26.8507954260068$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-16 23:23:51 Баланс: 3.74125393163777$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-16 23:27:47 Баланс: 0.738593086845766$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-16 23:31:42 Баланс: 0.773990479724165$ | PnL: 0.03629717 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-16 23:35:39 Баланс: 0.773990479724165$ | PnL: 0.03629717 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-16 23:39:41 Баланс: 0.773990479724165$ | PnL: 0.03629717 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-16 23:43:41 Баланс: 0.773990479724165$ | PnL: 0.03629717 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-16 23:47:38 Баланс: 0.773990479724165$ | PnL: 0.03629717 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-16 23:51:36 Баланс: 0.773990479724165$ | PnL: 0.03629717 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-16 23:55:29 Баланс: 0.773990479724165$ | PnL: 0.03629717 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-16 23:59:23 Баланс: 0.773990479724165$ | PnL: 0.03629717 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-17 00:03:16 Баланс: 0.773990479724165$ | PnL: 0.03629717 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-17 00:07:13 Баланс: 0.773990479724165$ | PnL: 0.03629717 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-17 00:11:05 Баланс: 0.773990479724165$ | PnL: 0.03629717 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-17 00:15:01 Баланс: 0.773990479724165$ | PnL: 0.03629717 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-17 00:18:55 Баланс: 0.799844702004165$ | PnL: 0.06303582 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-17 00:22:50 Баланс: 0.827432027564166$ | PnL: 0.09168721 💵 | Сделок: 3 | WinRate: 100%
🔄 2025-09-17 00:26:43 Баланс: 0.827432027564166$ | PnL: 0.09168721 💵 | Сделок: 3 | WinRate: 100%
🔄 2025-09-17 00:31:17 Баланс: 0.827432027564166$ | PnL: 0.09168721 💵 | Сделок: 3 | WinRate: 100%
🔄 2025-09-17 00:35:11 Баланс: 0.827432027564166$ | PnL: 0.09168721 💵 | Сделок: 3 | WinRate: 100%
🔄 2025-09-17 00:39:48 Баланс: 0.882759836758766$ | PnL: 0.147918 💵 | Сделок: 4 | WinRate: 100%
🔄 2025-09-17 00:43:41 Баланс: 0.882759836758766$ | PnL: 0.147918 💵 | Сделок: 4 | WinRate: 100%
🔄 2025-09-17 00:47:35 Баланс: 0.882759836758766$ | PnL: 0.147918 💵 | Сделок: 4 | WinRate: 100%
🔄 2025-09-17 00:51:33 Баланс: 0.882759836758766$ | PnL: 0.147918 💵 | Сделок: 4 | WinRate: 100%
🔄 2025-09-17 00:55:34 Баланс: 0.882759836758766$ | PnL: 0.147918 💵 | Сделок: 4 | WinRate: 100%
🔄 2025-09-17 00:59:33 Баланс: 0.882759836758766$ | PnL: 0.147918 💵 | Сделок: 4 | WinRate: 100%
🔄 2025-09-17 01:03:34 Баланс: 0.902235956480766$ | PnL: 0.16829275 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-17 01:07:31 Баланс: 0.902235956480766$ | PnL: 0.16829275 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-17 01:11:31 Баланс: 0.902235956480766$ | PnL: 0.16829275 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-17 01:15:26 Баланс: 0.902235956480766$ | PnL: 0.16829275 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-17 01:19:25 Баланс: 0.902235956480766$ | PnL: 0.16829275 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-17 01:23:17 Баланс: 0.902235956480766$ | PnL: 0.16829275 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-17 01:27:17 Баланс: 0.902235956480766$ | PnL: 0.16829275 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-17 01:31:12 Баланс: 0.902235956480766$ | PnL: 0.16829275 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-17 01:35:32 Баланс: 0.902235956480766$ | PnL: 0.16829275 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-17 01:39:27 Баланс: 0.902235956480766$ | PnL: 0.16829275 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-17 01:43:22 Баланс: 0.902235956480766$ | PnL: 0.16829275 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-17 01:47:58 Баланс: 0.902235956480766$ | PnL: 0.16829275 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-17 01:51:56 Баланс: 0.902235956480766$ | PnL: 0.16829275 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-17 01:55:50 Баланс: 0.902235956480766$ | PnL: 0.16829275 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-17 01:59:42 Баланс: 0.902235956480766$ | PnL: 0.16829275 💵 | Сделок: 5 | WinRate: 100%
🔄 2025-09-17 02:03:39 Баланс: 0.922233500288766$ | PnL: 0.18918918 💵 | Сделок: 6 | WinRate: 100%
🔄 2025-09-17 02:07:33 Баланс: 0.922233500288766$ | PnL: 0.18918918 💵 | Сделок: 6 | WinRate: 100%
🔄 2025-09-17 02:12:16 Баланс: 0.936467380749566$ | PnL: 0.204322 💵 | Сделок: 7 | WinRate: 100%
🔄 2025-09-17 02:16:07 Баланс: 0.936467380749566$ | PnL: 0.204322 💵 | Сделок: 7 | WinRate: 100%
🔄 2025-09-17 02:20:01 Баланс: 0.958655712325566$ | PnL: 0.2274135 💵 | Сделок: 8 | WinRate: 100%
🔄 2025-09-17 02:23:57 Баланс: 0.958655712325566$ | PnL: 0.2274135 💵 | Сделок: 8 | WinRate: 100%
🔄 2025-09-17 02:27:49 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 02:31:43 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 02:35:37 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 02:39:32 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 02:43:25 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 02:47:18 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 02:51:12 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 02:55:02 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 02:58:58 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 03:03:02 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 03:06:56 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 03:10:46 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 03:14:41 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 03:19:18 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 03:23:12 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 03:27:05 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 03:31:00 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 03:35:41 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 03:39:33 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 03:43:24 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 03:47:15 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 03:51:11 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 03:55:07 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 03:58:57 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 04:03:33 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 04:07:25 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 04:11:23 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 04:15:23 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 04:19:17 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 04:23:09 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 04:27:00 Баланс: 0.985203250923566$ | PnL: 0.25490664 💵 | Сделок: 9 | WinRate: 100%
🔄 2025-09-17 04:30:52 Баланс: 0.00616554320486595$ | PnL: 0.2776687 💵 | Сделок: 10 | WinRate: 100%
🔄 2025-09-17 04:34:46 Баланс: 0.00616554320486595$ | PnL: 0.2776687 💵 | Сделок: 10 | WinRate: 100%
🔄 2025-09-17 04:39:23 Баланс: 0.00616554320486595$ | PnL: 0.2776687 💵 | Сделок: 10 | WinRate: 100%
🔄 2025-09-17 04:43:18 Баланс: 0.00616554320486595$ | PnL: 0.2776687 💵 | Сделок: 10 | WinRate: 100%
🔄 2025-09-17 04:47:14 Баланс: 0.00616554320486595$ | PnL: 0.2776687 💵 | Сделок: 10 | WinRate: 100%
🔄 2025-09-17 04:51:11 Баланс: 0.00616554320486595$ | PnL: 0.2776687 💵 | Сделок: 10 | WinRate: 100%
🔄 2025-09-17 04:55:12 Баланс: 0.00616554320486595$ | PnL: 0.2776687 💵 | Сделок: 10 | WinRate: 100%
🔄 2025-09-17 04:59:10 Баланс: 0.00616554320486595$ | PnL: 0.2776687 💵 | Сделок: 10 | WinRate: 100%
🔄 2025-09-17 05:03:01 Баланс: 0.00616554320486595$ | PnL: 0.2776687 💵 | Сделок: 10 | WinRate: 100%
🔄 2025-09-17 05:06:55 Баланс: 0.00616554320486595$ | PnL: 0.2776687 💵 | Сделок: 10 | WinRate: 100%
